alpha,gamma,best_cost,best_fidelity,best_leakage,runtime_ns,best_horizon_ns,control_plan,robustness_path,robustness_sigma_1p0_average_fidelity,robustness_sigma_1p0_average_gate_fidelity,robustness_sigma_1p0_fidelity_variance
0.0,1.5707963267948966,0.7295709991027143,0.9398910036952106,0.0004629765286343,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.000000\robustness\best_robustness.json,0.9360865741030764,0.9201082176288454,0.0004951404515312
0.1,1.5707963267948966,0.4819344168720086,0.9670552623344918,0.0009993682617543,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.100000\robustness\best_robustness.json,0.9536479221770634,0.9420599027213294,0.0002083770431714
0.2,1.5707963267948966,0.464577726571475,0.9689362465199384,0.0010325786972895,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.200000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.200000\robustness\best_robustness.json,0.9572128637627252,0.9465160797034066,0.0002085228252029
0.3,1.5707963267948966,0.2601464431740709,0.9893845401330378,0.0006700425424214,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.300000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.300000\robustness\best_robustness.json,0.9684050585873778,0.960506323234222,0.0001851457572798
0.4,1.5707963267948966,0.2253120467712538,0.9924263985187892,0.000721731385574,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.400000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.400000\robustness\best_robustness.json,0.9691835266220707,0.9614794082775882,0.0001508505620507
0.5,1.5707963267948966,0.3212496361824745,0.9873225123135416,0.000643265887104,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.500000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.500000\robustness\best_robustness.json,0.96679023674566,0.9584877959320748,0.0001485403860294
0.6,1.5707963267948966,0.2730961196553966,0.9903037976032336,0.000354859806482,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.600000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.600000\robustness\best_robustness.json,0.9685479320036252,0.9606849150045312,0.0001794979167403
0.7,1.5707963267948966,0.4222788815310363,0.9825747601469292,0.0004204151812416,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.700000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.700000\robustness\best_robustness.json,0.960407454063692,0.9505093175796148,0.000463071017373
0.8,1.5707963267948966,0.2169347613019153,0.993032144359836,0.0003785931584276,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.800000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.800000\robustness\best_robustness.json,0.973152218766783,0.9664402734584788,0.0001342344703561
0.9,1.5707963267948966,0.5393502666578484,0.971096432596578,0.0004021183802511,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.900000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.900000\robustness\best_robustness.json,0.9591599405257032,0.9489499256571288,0.0003579477482439
1.0,1.5707963267948966,0.2430655377602149,0.9904871240289036,0.0003902216192122,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.000000\robustness\best_robustness.json,0.9753383487767338,0.9691729359709172,0.0001223826500332
1.1,1.5707963267948966,0.5333511653752453,0.9703717136191126,0.0003831185864731,50.0,50.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.100000\robustness\best_robustness.json,0.9641682849229452,0.9552103561536814,0.0003409126045468
1.2,1.5707963267948966,0.2130410572216226,0.9895727146385732,0.0002850763185544,50.0,50.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.200000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.200000\robustness\best_robustness.json,0.9775331859576584,0.9719164824470728,0.0001262028185613
1.3,1.5707963267948966,0.256567082867723,0.9852722018347002,0.0004125622234994,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.300000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.300000\robustness\best_robustness.json,0.977461159230628,0.9718264490382846,0.0001051660445306
1.4,1.5707963267948966,0.0857789989854248,0.998723485945676,0.0003673494509567,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.400000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.400000\robustness\best_robustness.json,0.987100548930248,0.98387568616281,3.862509741370638e-05
1.5,1.5707963267948966,0.0798231960480954,0.9990431257314178,0.000237168412417,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.500000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.500000\robustness\best_robustness.json,0.9880866945989628,0.9851083682487036,5.9845271652471046e-05
1.6,1.5707963267948966,0.0790487159316952,0.999042860193066,0.0001700836142276,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.600000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.600000\robustness\best_robustness.json,0.9883804622744008,0.9854755778430012,6.234496995843442e-05
1.7,1.5707963267948966,0.0799553433117815,0.9990820300011628,0.0003076245930458,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.700000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.700000\robustness\best_robustness.json,0.9892019111766523,0.986502388970815,3.2097268008764935e-05
1.8,1.5707963267948966,0.1504624113304719,0.9935603823621112,0.0004067832992211,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.800000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.800000\robustness\best_robustness.json,0.9856832871514034,0.982104108939254,5.0597884999675815e-05
1.9,1.5707963267948966,0.6337337773765017,0.9521946748493456,0.0002713097711599,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.900000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.900000\robustness\best_robustness.json,0.949951641445616,0.93743955180702,0.0002813175475155
2.0,1.5707963267948966,0.3939084941369277,0.9790817356378512,0.0002859013316736,50.0,50.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.000000\robustness\best_robustness.json,0.9701809086664718,0.9627261358330896,0.0002077078410293
2.1,1.5707963267948966,0.1711289123177455,0.9951681752628172,0.0003388152044782,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.100000\robustness\best_robustness.json,0.9778313309833644,0.9722891637292056,0.0001043929647133
2.2,1.5707963267948966,0.3806386581722285,0.9820504068885064,0.0003670276409807,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.200000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.200000\robustness\best_robustness.json,0.9666892757240992,0.9583615946551236,0.0001734743225366
2.3,1.5707963267948966,0.1762360963091385,0.9950918508387344,0.0003381981622569,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.300000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.300000\robustness\best_robustness.json,0.978536063759606,0.9731700796995072,7.845020523175e-05
2.4,1.5707963267948966,0.2936561190851306,0.9872288234772402,0.0003925874826631,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.400000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.400000\robustness\best_robustness.json,0.9703673224137304,0.9629591530171632,0.0001760830634998
