alpha,gamma,best_cost,best_fidelity,best_leakage,runtime_ns,best_horizon_ns,control_plan,robustness_path,robustness_sigma_1p0_average_fidelity,robustness_sigma_1p0_average_gate_fidelity,robustness_sigma_1p0_fidelity_variance
0.0,1.5707963267948966,0.7295709991027143,0.9398910036952106,0.00046297652863435296,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.000000\robustness\best_robustness.json,0.9360865741030763,0.9201082176288454,0.0004951404515312562
0.1,1.5707963267948966,0.48193441687200866,0.9670552623344918,0.0009993682617543936,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.100000\robustness\best_robustness.json,0.9536479221770634,0.9420599027213294,0.00020837704317143996
0.2,1.5707963267948966,0.464577726571475,0.9689362465199384,0.0010325786972895023,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.200000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.200000\robustness\best_robustness.json,0.9572128637627252,0.9465160797034066,0.00020852282520292302
0.3,1.5707963267948966,0.2601464431740709,0.9893845401330378,0.0006700425424214947,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.300000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.300000\robustness\best_robustness.json,0.9684050585873778,0.9605063232342221,0.00018514575727986634
0.4,1.5707963267948966,0.2253120467712538,0.9924263985187891,0.0007217313855740794,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.400000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.400000\robustness\best_robustness.json,0.9691835266220707,0.9614794082775882,0.00015085056205079087
0.5,1.5707963267948966,0.3212496361824745,0.9873225123135415,0.0006432658871040392,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.500000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.500000\robustness\best_robustness.json,0.9667902367456599,0.9584877959320749,0.0001485403860294518
0.6,1.5707963267948966,0.2730961196553966,0.9903037976032336,0.00035485980648201297,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.600000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.600000\robustness\best_robustness.json,0.9685479320036251,0.9606849150045312,0.00017949791674030848
0.7,1.5707963267948966,0.4222788815310363,0.9825747601469293,0.00042041518124167867,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.700000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.700000\robustness\best_robustness.json,0.960407454063692,0.9505093175796149,0.0004630710173730487
0.8,1.5707963267948966,0.21693476130191536,0.9930321443598359,0.00037859315842765466,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.800000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.800000\robustness\best_robustness.json,0.973152218766783,0.9664402734584788,0.00013423447035611699
0.9,1.5707963267948966,0.5393502666578484,0.9710964325965779,0.00040211838025113855,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.900000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_0.900000\robustness\best_robustness.json,0.9591599405257031,0.9489499256571287,0.00035794774824392543
1.0,1.5707963267948966,0.24306553776021492,0.9904871240289036,0.0003902216192122685,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.000000\robustness\best_robustness.json,0.9753383487767338,0.9691729359709171,0.00012238265003320663
1.1,1.5707963267948966,0.5333511653752453,0.9703717136191126,0.0003831185864731743,50.0,50.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.100000\robustness\best_robustness.json,0.9641682849229453,0.9552103561536814,0.0003409126045468074
1.2,1.5707963267948966,0.21304105722162262,0.9895727146385731,0.0002850763185544953,50.0,50.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.200000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.200000\robustness\best_robustness.json,0.9775331859576583,0.9719164824470728,0.0001262028185613571
1.3,1.5707963267948966,0.256567082867723,0.9852722018347002,0.00041256222349948096,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.300000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.300000\robustness\best_robustness.json,0.9774611592306279,0.9718264490382846,0.00010516604453061822
1.4,1.5707963267948966,0.08577899898542482,0.998723485945676,0.0003673494509567976,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.400000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.400000\robustness\best_robustness.json,0.987100548930248,0.9838756861628101,3.862509741370638e-05
1.5,1.5707963267948966,0.07982319604809543,0.9990431257314178,0.0002371684124170081,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.500000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.500000\robustness\best_robustness.json,0.9880866945989629,0.9851083682487035,5.9845271652471046e-05
1.6,1.5707963267948966,0.07904871593169525,0.9990428601930661,0.0001700836142276473,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.600000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.600000\robustness\best_robustness.json,0.9883804622744009,0.9854755778430011,6.234496995843442e-05
1.7,1.5707963267948966,0.0799553433117815,0.9990820300011627,0.0003076245930458789,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.700000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.700000\robustness\best_robustness.json,0.9892019111766523,0.986502388970815,3.2097268008764935e-05
1.8,1.5707963267948966,0.15046241133047195,0.9935603823621111,0.0004067832992211372,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.800000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.800000\robustness\best_robustness.json,0.9856832871514034,0.982104108939254,5.0597884999675815e-05
1.9,1.5707963267948966,0.6337337773765017,0.9521946748493456,0.00027130977115997416,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.900000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.900000\robustness\best_robustness.json,0.9499516414456161,0.9374395518070199,0.00028131754751552224
2.0,1.5707963267948966,0.39390849413692774,0.9790817356378511,0.0002859013316736717,50.0,50.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.000000\robustness\best_robustness.json,0.9701809086664718,0.9627261358330897,0.00020770784102936904
2.1,1.5707963267948966,0.17112891231774552,0.9951681752628172,0.0003388152044782673,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.100000\robustness\best_robustness.json,0.9778313309833643,0.9722891637292056,0.00010439296471334439
2.2,1.5707963267948966,0.38063865817222853,0.9820504068885064,0.00036702764098077466,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.200000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.200000\robustness\best_robustness.json,0.9666892757240991,0.9583615946551237,0.00017347432253662893
2.3,1.5707963267948966,0.1762360963091385,0.9950918508387344,0.00033819816225695207,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.300000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.300000\robustness\best_robustness.json,0.9785360637596059,0.9731700796995072,7.845020523175e-05
2.4,1.5707963267948966,0.2936561190851306,0.9872288234772402,0.0003925874826631974,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.400000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.400000\robustness\best_robustness.json,0.9703673224137305,0.9629591530171632,0.00017608306349980839
2.5,1.5707963267948966,0.5850607156613108,0.9686396622359277,0.0005426181455168891,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.500000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.500000\robustness\best_robustness.json,0.9568071974870946,0.946008996858868,0.000365765885394543
2.6,1.5707963267948966,0.2162717543806572,0.9937653592218907,0.0005315145148048942,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.600000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.600000\robustness\best_robustness.json,0.9700240760266565,0.9625300950333205,0.0001585605800593868
2.7,1.5707963267948966,0.2320977172792849,0.9923712902628749,0.0006954849180266396,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.700000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.700000\robustness\best_robustness.json,0.9695107845269499,0.9618884806586874,0.0001113874577616435
2.8,1.5707963267948966,0.2417576402732884,0.9917718708015879,0.000742192786471424,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.800000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.800000\robustness\best_robustness.json,0.9717399685177412,0.9646749606471765,0.00013436613916264578
2.9,1.5707963267948966,0.5237390257930886,0.9637631571914358,0.0010857255385020774,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.900000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.900000\robustness\best_robustness.json,0.9524640803373811,0.9405801004217261,0.00026582422557659447
3.0,1.5707963267948966,0.4648945966763622,0.9691136099286771,0.000971294773624171,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.000000\robustness\best_robustness.json,0.9570405747698811,0.9463007184623514,0.00017447666324557824
3.1,1.5707963267948966,0.7287795796909186,0.9399607934285177,0.0004621518942719844,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.100000\robustness\best_robustness.json,0.9377015729985916,0.9221269662482395,0.00034117788578033327
3.141592653589793,1.5707963267948966,0.7295709991027427,0.9398910036952078,0.00046297652863435936,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.141593\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.141593\robustness\best_robustness.json,0.9355803259121395,0.9194754073901744,0.00040925860010669157
