mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns
trpo,a-2p2_520a1971,1,runs\cost_function_sweep\trpo\a-2p2_520a1971\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.05,64-32-32,0.21064766131792512,0.21064766131792512,0.9907268144937268,0.0004758134550721042,180.0
trpo,a-2p2_520a1971,2,runs\cost_function_sweep\trpo\a-2p2_520a1971\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.05,64-32-32,0.19778234045865362,0.19778234045865362,0.9932106164814108,0.00047945909454321197,180.0
trpo,a-2p2_5dfdc91c,1,runs\cost_function_sweep\trpo\a-2p2_5dfdc91c\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.1,64-32-32,0.37537495360900747,0.37537495360900747,0.9892442786206685,0.0004121149670044947,180.0
trpo,a-2p2_5dfdc91c,2,runs\cost_function_sweep\trpo\a-2p2_5dfdc91c\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.1,64-32-32,0.3440775856414925,0.3440775856414925,0.9930010351829126,0.00026089065861755503,180.0
trpo,a-2p2_3780f18e,1,runs\cost_function_sweep\trpo\a-2p2_3780f18e\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.2,64-32-32,0.6213467650030682,0.6213467650030682,0.9973060175116218,0.0004864048670762652,180.0
trpo,a-2p2_3780f18e,2,runs\cost_function_sweep\trpo\a-2p2_3780f18e\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.2,64-32-32,0.6446502574849415,0.6446502574849415,0.993011008597058,0.00026216677923833855,180.0
trpo,a-2p2_dc7e8ba1,1,runs\cost_function_sweep\trpo\a-2p2_dc7e8ba1\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.4,64-32-32,1.2216985281518602,1.2216985281518602,0.9971464420742165,0.000484960863596112,180.0
trpo,a-2p2_dc7e8ba1,2,runs\cost_function_sweep\trpo\a-2p2_dc7e8ba1\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.4,64-32-32,1.245982143138811,1.245982143138811,0.9930245457888455,0.00026468761306638986,180.0
trpo,a-2p2_c4c500cd,1,runs\cost_function_sweep\trpo\a-2p2_c4c500cd\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.4,0.05,64-32-32,0.9875174128979494,0.9875174128979494,0.8335608275736326,0.0002289323136700026,180.0
trpo,a-2p2_c4c500cd,2,runs\cost_function_sweep\trpo\a-2p2_c4c500cd\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.4,0.05,64-32-32,0.9568894388320381,0.9568894388320381,0.8409952637228371,0.00014418814986348329,180.0
