mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns,robustness_sigma_1p0_average_fidelity
trpo,a-2p2_520a1971,1,runs\cost_function_sweep\trpo\a-2p2_520a1971\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.05,64-32-32,0.2106476613179251,0.2106476613179251,0.9907268144937268,0.0004758134550721,180.0,0.9398410202614486
trpo,a-2p2_520a1971,2,runs\cost_function_sweep\trpo\a-2p2_520a1971\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.05,64-32-32,0.1977823404586536,0.1977823404586536,0.9932106164814108,0.0004794590945432,180.0,0.9420275702301684
trpo,a-2p2_5dfdc91c,1,runs\cost_function_sweep\trpo\a-2p2_5dfdc91c\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.1,64-32-32,0.3753749536090074,0.3753749536090074,0.9892442786206684,0.0004121149670044,180.0,0.9321946429176915
trpo,a-2p2_5dfdc91c,2,runs\cost_function_sweep\trpo\a-2p2_5dfdc91c\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.1,64-32-32,0.3440775856414925,0.3440775856414925,0.9930010351829126,0.0002608906586175,180.0,0.9387145705250891
trpo,a-2p2_3780f18e,1,runs\cost_function_sweep\trpo\a-2p2_3780f18e\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.2,64-32-32,0.6213467650030682,0.6213467650030682,0.9973060175116218,0.0004864048670762,180.0,0.9444806380281444
trpo,a-2p2_3780f18e,2,runs\cost_function_sweep\trpo\a-2p2_3780f18e\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.2,64-32-32,0.6446502574849415,0.6446502574849415,0.993011008597058,0.0002621667792383,180.0,0.9385165403289264
trpo,a-2p2_dc7e8ba1,1,runs\cost_function_sweep\trpo\a-2p2_dc7e8ba1\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.4,64-32-32,1.2216985281518602,1.2216985281518602,0.9971464420742164,0.0004849608635961,180.0,0.9443198329439689
trpo,a-2p2_dc7e8ba1,2,runs\cost_function_sweep\trpo\a-2p2_dc7e8ba1\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.4,64-32-32,1.245982143138811,1.245982143138811,0.9930245457888456,0.0002646876130663,180.0,0.9381829431583318
trpo,a-2p2_c4c500cd,1,runs\cost_function_sweep\trpo\a-2p2_c4c500cd\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.4,0.05,64-32-32,0.9875174128979494,0.9875174128979494,0.8335608275736326,0.00022893231367,180.0,0.8141731073277733
trpo,a-2p2_c4c500cd,2,runs\cost_function_sweep\trpo\a-2p2_c4c500cd\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.4,0.05,64-32-32,0.956889438832038,0.956889438832038,0.8409952637228371,0.0001441881498634,180.0,0.8290945727943371
