method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
adam_noise,0.1,60,0.9856627593805996,0.9904418395870663,1.7282938537564257e-06
adam_noise,0.101,60,0.9854062851385268,0.9902708567590178,1.6380600100868713e-06
adam_noise,0.102,60,0.9853145562469638,0.9902097041646426,9.63405291584515e-07
adam_noise,0.103,60,0.9854340019648375,0.990289334643225,1.9264502672607115e-06
adam_noise,0.104,60,0.9852245579932264,0.9901497053288176,1.911370269912464e-06
adam_noise,0.105,60,0.98540352059062,0.99026901372708,1.5369724665900115e-06
adam_noise,0.106,60,0.9853058246864296,0.9902038831242864,1.7059613038320728e-06
adam_noise,0.107,60,0.9856029961369024,0.9904019974246016,2.351498327384741e-06
adam_noise,0.108,60,0.985389123965388,0.9902594159769254,1.445278132496885e-06
adam_noise,0.109,60,0.9857469839503642,0.9904979893002427,1.6403579813901929e-06
adam_noise,0.11,60,0.9853468730416286,0.990231248694419,1.332673327678186e-06
adam_noise,0.111,60,0.9852819845049816,0.9901879896699878,2.819457664120241e-06
adam_noise,0.112,60,0.985292012470484,0.9901946749803227,2.0828437768429136e-06
adam_noise,0.113,60,0.985518565444674,0.9903457102964494,2.1742017408279254e-06
adam_noise,0.114,60,0.9851683981540164,0.9901122654360108,1.6414157367903546e-06
adam_noise,0.115,60,0.985490896448788,0.990327264299192,2.2043195544050137e-06
adam_noise,0.116,60,0.9854812415880556,0.9903208277253704,2.4840079026640344e-06
adam_noise,0.117,60,0.9853672719811444,0.9902448479874296,2.087558682348631e-06
adam_noise,0.118,60,0.9851999365475468,0.9901332910316979,2.347700390478941e-06
adam_noise,0.119,60,0.9852169835459558,0.9901446556973038,2.3819071943333816e-06
adam_noise,0.12,60,0.985438198737714,0.9902921324918094,2.051008061564843e-06
adam_noise,0.121,60,0.9852564313518724,0.9901709542345816,1.832243426202635e-06
adam_noise,0.122,60,0.9852698547111728,0.9901799031407817,1.92567482177782e-06
adam_noise,0.123,60,0.9853924156279148,0.9902616104186098,2.4267896927591788e-06
adam_noise,0.124,60,0.985389141630158,0.9902594277534386,2.0413550337451343e-06
adam_noise,0.125,60,0.9850534107529256,0.990035607168617,2.7726188785787365e-06
adam_noise,0.126,60,0.985277294077614,0.9901848627184093,2.116454091498537e-06
adam_noise,0.127,60,0.9850665064796572,0.9900443376531047,3.777030884213251e-06
adam_noise,0.128,60,0.9856321239778488,0.9904214159852325,2.5235281625058624e-06
adam_noise,0.129,60,0.9851804927988576,0.9901203285325716,2.217578203300517e-06
adam_noise,0.13,60,0.9851933114676888,0.9901288743117925,2.4116262277826774e-06
adam_noise,0.131,60,0.985239338602702,0.9901595590684679,3.038713781330991e-06
adam_noise,0.132,60,0.9853740707315568,0.9902493804877045,3.1132056955894546e-06
adam_noise,0.133,60,0.9855658723961022,0.9903772482640681,2.3148818220270665e-06
adam_noise,0.134,60,0.9851443721264468,0.9900962480842979,2.7014188626976253e-06
adam_noise,0.135,60,0.9855993115360672,0.9903995410240448,2.217967601853064e-06
adam_noise,0.136,60,0.9851914321007164,0.9901276214004776,2.5782532766782136e-06
adam_noise,0.137,60,0.985229502032277,0.9901530013548513,3.380442374497761e-06
adam_noise,0.138,60,0.9851005136803016,0.990067009120201,3.201589485453999e-06
adam_noise,0.139,60,0.9852346713893626,0.9901564475929083,2.5306680434732445e-06
adam_noise,0.14,60,0.9854408258158004,0.9902938838772002,2.4405568226651706e-06
adam_noise,0.141,60,0.9854976139079552,0.9903317426053034,4.448577449340342e-06
adam_noise,0.142,60,0.9853519775589068,0.9902346517059378,3.6861939878640336e-06
adam_noise,0.143,60,0.9850816550682874,0.9900544367121915,3.81104717116705e-06
adam_noise,0.144,60,0.9853595725195302,0.9902397150130202,2.477562184453419e-06
adam_noise,0.145,60,0.985129902264481,0.990086601509654,2.504179011335378e-06
adam_noise,0.146,60,0.9853347694896883,0.9902231796597922,3.043374313464607e-06
adam_noise,0.147,60,0.9854613764173458,0.9903075842782304,3.861079313105837e-06
adam_noise,0.148,60,0.9850996351569924,0.9900664234379949,3.545737393590548e-06
adam_noise,0.149,60,0.9854822083095458,0.9903214722063639,3.163139485671045e-06
adam_noise,0.15,60,0.9850345126191224,0.9900230084127483,4.174360587261871e-06
adam_noise,0.151,60,0.9851291504390208,0.9900861002926806,4.150376526555432e-06
adam_noise,0.152,60,0.9853710172281672,0.9902473448187781,3.074811058062917e-06
adam_noise,0.153,60,0.9853055130293312,0.9902036753528876,4.440160219557626e-06
adam_noise,0.154,60,0.984993958889976,0.9899959725933174,3.252596309781933e-06
