method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
noise,0.1,60,0.9986827176040952,0.9983533970051188,1.7872324433687378e-07
noise,0.101,60,0.9987365975507329,0.998420746938416,1.449842919212733e-07
noise,0.102,60,0.9987082798290686,0.998385349786336,1.5676764647495173e-07
noise,0.103,60,0.9986956200409406,0.9983695250511756,2.031932384263172e-07
noise,0.104,60,0.9987222508811832,0.9984028136014792,1.7856363445029019e-07
noise,0.105,60,0.9986692949083782,0.9983366186354726,1.501863453888809e-07
noise,0.106,60,0.998714057914372,0.9983925723929652,1.37402549909479e-07
noise,0.107,60,0.998744059357192,0.99843007419649,1.2780882703379128e-07
noise,0.108,60,0.9987240003726532,0.9984050004658164,1.317269609140566e-07
noise,0.109,60,0.9986501119527172,0.9983126399408964,1.7110381428669244e-07
noise,0.11,60,0.9986690034585268,0.9983362543231586,1.6529144336176778e-07
noise,0.111,60,0.998720963924236,0.9984012049052952,2.085885842787244e-07
noise,0.112,60,0.9986560781803876,0.998320097725484,2.216012701836649e-07
noise,0.113,60,0.9986633746503664,0.9983292183129582,1.5377737545885696e-07
noise,0.114,60,0.9986984124950754,0.998373015618844,1.5119720719137784e-07
noise,0.115,60,0.9986737949032656,0.9983422436290816,1.8711969887906134e-07
noise,0.116,60,0.9987189697424874,0.9983987121781092,1.4712281350658708e-07
noise,0.117,60,0.998702001934578,0.9983775024182222,1.8067921222991706e-07
noise,0.118,60,0.9986511814795372,0.9983139768494216,1.381677354245261e-07
noise,0.119,60,0.998589348569246,0.9982366857115572,1.874674568989442e-07
noise,0.12,60,0.9986121880236012,0.9982652350295012,1.3044738705512517e-07
noise,0.121,60,0.99857667013151,0.9982208376643876,2.220021641673005e-07
noise,0.122,60,0.9985145859536412,0.9981432324420516,2.202928144899475e-07
noise,0.123,60,0.9985976535203256,0.9982470669004068,1.857323436996652e-07
noise,0.124,60,0.9987411958550844,0.9984264948188551,2.403443833191872e-07
noise,0.125,60,0.998587882689731,0.9982348533621636,2.2139758036507755e-07
noise,0.126,60,0.9985494957289393,0.998186869661174,2.723077591269932e-07
noise,0.127,60,0.9985883614462566,0.9982354518078208,2.6929399575096214e-07
noise,0.128,60,0.9985754131496752,0.9982192664370936,1.867389160504689e-07
noise,0.129,60,0.9985225619272432,0.998153202409054,2.021462195685296e-07
noise,0.13,60,0.9986085885831546,0.9982607357289432,1.8705343973049917e-07
noise,0.131,60,0.9985962647073116,0.9982453308841396,2.612783520532428e-07
noise,0.132,60,0.9985792285631272,0.9982240357039088,2.464720963988084e-07
noise,0.133,60,0.9984499101737876,0.9980623877172342,3.721836668584304e-07
noise,0.134,60,0.998446321703121,0.998057902128901,2.967903718837489e-07
noise,0.135,60,0.9985089682387812,0.9981362102984768,3.005139786824888e-07
noise,0.136,60,0.998546314643185,0.998182893303981,2.816490162836055e-07
noise,0.137,60,0.9985573417538162,0.99819667719227,2.484277613323727e-07
noise,0.138,60,0.9984808979189124,0.9981011223986408,3.723924300493012e-07
noise,0.139,60,0.9984310202315532,0.9980387752894416,3.4487912121141973e-07
noise,0.14,60,0.99846802104919,0.9980850263114872,2.942146899632671e-07
noise,0.141,60,0.9983157986324108,0.997894748290514,4.3778639813072134e-07
noise,0.142,60,0.9984123572287598,0.9980154465359496,6.119629769805606e-07
noise,0.143,60,0.9984635938996482,0.9980794923745602,3.6233229936145153e-07
noise,0.144,60,0.9985195732478775,0.9981494665598464,4.23031872813417e-07
noise,0.145,60,0.9984738793549532,0.9980923491936918,3.632990458939096e-07
noise,0.146,60,0.9984727712730262,0.9980909640912828,2.033636495278443e-07
noise,0.147,60,0.9984369073563416,0.9980461341954272,3.420001200813896e-07
noise,0.148,60,0.9984524783670892,0.9980655979588616,3.057661852689788e-07
noise,0.149,60,0.9983261740975302,0.997907717621913,4.3559458838710493e-07
noise,0.15,60,0.998426943869843,0.9980336798373036,4.208199320105412e-07
noise,0.151,60,0.9983702228847868,0.9979627786059831,4.040082182600045e-07
noise,0.152,60,0.9984207974776708,0.9980259968470888,4.0126149194488674e-07
noise,0.153,60,0.9983232113778852,0.9979040142223564,3.751660495160859e-07
noise,0.154,60,0.99834136793982,0.997926709924775,4.81332199341636e-07
noise,0.155,60,0.9982157322997744,0.997769665374718,5.314983970412901e-07
noise,0.156,60,0.9984662764640744,0.9980828455800927,3.618841391222452e-07
noise,0.157,60,0.9984829247475848,0.9981036559344812,5.713561033328357e-07
noise,0.158,60,0.998331744527534,0.9979146806594176,4.89816286736845e-07
noise,0.159,60,0.9983740956511704,0.9979676195639632,3.0906266352591134e-07
noise,0.16,60,0.9983130151967864,0.9978912689959832,3.978502163814893e-07
noise,0.161,60,0.9982206145455108,0.9977757681818884,4.917829397643626e-07
noise,0.162,60,0.9982523373214192,0.997815421651774,5.795328006247483e-07
noise,0.163,60,0.9984036588217624,0.9980045735272028,4.511824632834328e-07
noise,0.164,60,0.9982522570219508,0.9978153212774388,3.934312906430855e-07
noise,0.165,60,0.998287459249612,0.9978593240620152,4.849358704114992e-07
noise,0.166,60,0.9983360370621196,0.9979200463276492,4.180522673854809e-07
noise,0.167,60,0.998434876468391,0.9980435955854886,4.434266074855098e-07
noise,0.168,60,0.9981634222330924,0.9977042777913656,6.405355812843034e-07
noise,0.169,60,0.9981769773500052,0.9977212216875068,7.379470878779376e-07
