method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
nominal,0.1,60,0.995049095082678,0.9938113688533476,1.7282938537564257e-06
nominal,0.101,60,0.9949541115523868,0.9936926394404838,1.6380600100868713e-06
nominal,0.102,60,0.994809748380516,0.9935121854756452,9.63405291584515e-07
nominal,0.103,60,0.9950589823471166,0.9938237279338956,1.9264502672607115e-06
nominal,0.104,60,0.9948353967668307,0.9935442459585384,1.911370269912464e-06
nominal,0.105,60,0.9948930847321082,0.9936163559151352,1.5369724665900115e-06
nominal,0.106,60,0.9948340890636156,0.9935426113295194,1.7059613038320728e-06
nominal,0.107,60,0.9948703490933892,0.9935879363667364,2.351498327384741e-06
nominal,0.108,60,0.9949832362542268,0.9937290453177834,1.445278132496885e-06
nominal,0.109,60,0.995132532002824,0.99391566500353,1.6403579813901929e-06
nominal,0.11,60,0.9948974931058076,0.9936218663822594,1.332673327678186e-06
nominal,0.111,60,0.9946769869857154,0.993346233732144,2.819457664120241e-06
nominal,0.112,60,0.9949162417672656,0.9936453022090824,2.0828437768429136e-06
nominal,0.113,60,0.9949377332529632,0.9936721665662038,2.1742017408279254e-06
nominal,0.114,60,0.9946900928242984,0.9933626160303728,1.6414157367903546e-06
nominal,0.115,60,0.9948665993003244,0.9935832491254052,2.2043195544050137e-06
nominal,0.116,60,0.994859369099324,0.993574211374155,2.4840079026640344e-06
nominal,0.117,60,0.9948815525390629,0.9936019406738285,2.087558682348631e-06
nominal,0.118,60,0.9947173743915076,0.9933967179893844,2.347700390478941e-06
nominal,0.119,60,0.9949935495805236,0.9937419369756542,2.3819071943333816e-06
nominal,0.12,60,0.994796548280698,0.9934956853508724,2.051008061564843e-06
nominal,0.121,60,0.994737973611076,0.9934224670138446,1.832243426202635e-06
nominal,0.122,60,0.9948829669136864,0.9936037086421082,1.92567482177782e-06
nominal,0.123,60,0.994853459236144,0.99356682404518,2.4267896927591788e-06
nominal,0.124,60,0.9947979001716604,0.9934973752145756,2.0413550337451343e-06
nominal,0.125,60,0.9946024470624264,0.9932530588280328,2.7726188785787365e-06
nominal,0.126,60,0.9946246527806126,0.993280815975766,2.116454091498537e-06
nominal,0.127,60,0.9945267635325076,0.9931584544156344,3.777030884213251e-06
nominal,0.128,60,0.9949478087426048,0.993684760928256,2.5235281625058624e-06
