sigma_mhz,adam_fidelity_raw,adam_fidelity_ewma,adam_variance_raw,adam_variance_ewma,nominal_fidelity_raw,nominal_fidelity_ewma,nominal_variance_raw,nominal_variance_ewma,noise_fidelity_raw,noise_fidelity_ewma,noise_variance_raw,noise_variance_ewma
0.1,0.9749292525319736,0.9749292525319736,1.172927207109294e-06,1.172927207109294e-06,0.995049095082678,0.995049095082678,1.8572218153796984e-06,1.8572218153796984e-06,0.9986827176040952,0.9986827176040952,1.787232443368738e-07,1.787232443368738e-07
0.11,0.9748101179552286,0.9748684938978336,1.0750832353209875e-06,1.1233936963914638e-06,0.9948872005816928,0.9949665288871755,1.4421914652240089e-06,1.6471127006133808e-06,0.998685075886362,0.9986839203280512,1.754320311858878e-07,1.7705706767918715e-07
0.12,0.9745140637459068,0.9747455939078108,1.109794902563897e-06,1.1187469755799088e-06,0.9946449601601955,0.9948550237200146,2.407179803645476e-06,1.9068283541206762e-06,0.9986003199038892,0.9986549315661202,2.2041494408264282e-07,1.9187249536957165e-07
0.13,0.9750137291540544,0.9748167022815603,1.7193324339548569e-06,1.2745701558370175e-06,0.994862917326186,0.9948571170721782,4.246000895376351e-06,2.51373166732245e-06,0.9985140271406108,0.9986175642871352,3.5742549585743764e-07,2.3482557503108548e-07
0.14,0.9749020192475172,0.9748351574823582,2.320179565525625e-06,1.4942771629936344e-06,0.9944991127795326,0.994779675955594,3.3720281504653213e-06,2.694079844966078e-06,0.9984942984226916,0.9985909002320518,3.646044840991042e-07,2.620951610152788e-07
0.15,0.9749432467944515,0.9748550208837303,1.438818571634218e-06,1.4844468669576899e-06,0.9944838745893948,0.9947253170078916,4.288144437873324e-06,2.976635287947679e-06,0.998331566555177,0.9985432428937513,3.492657932846712e-07,2.775465653846233e-07
0.16,0.9748068319334836,0.9748472837068279,2.34257997261627e-06,1.6164206348862465e-06,0.9942749499995488,0.9946530064637366,3.779994692911422e-06,3.100185314132184e-06,0.9983413029815456,0.9985108195930482,3.673235412647726e-07,2.913535210911526e-07
0.17,0.9747147107262214,0.9748283012935043,4.023668761024655e-06,1.9443054236789063e-06,0.9942487590989176,0.9945951244539266,4.133827655521313e-06,3.2409749556791056e-06,0.998309857162784,0.9984820448616033,4.027811188264837e-07,3.0653077430091246e-07
0.18,0.9738844150515203,0.9747058793685008,3.053535419996837e-06,2.0802326071799244e-06,0.9943166714749672,0.9945590091381279,5.507962565558225e-06,3.518775990509986e-06,0.9981736483648564,0.998442045875373,4.330270421024467e-07,3.2203187097403637e-07
0.19,0.9741073918370038,0.9746346965330444,4.428162859317641e-06,2.342308257501111e-06,0.9944382712949332,0.9945446488355766,5.186796299101126e-06,3.7049601868782384e-06,0.997963801280572,0.9983851644793403,6.767983056464529e-07,3.61630851392748e-07
