mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns
trpo,a-2p2_71cf2651,1,runs\nn_size_sweep\trpo\a-2p2_71cf2651\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64-32,0.3667413110339707,0.3667413110339707,0.9888990273989103,0.0003889041746485429,104.0
trpo,a-2p2_71cf2651,2,runs\nn_size_sweep\trpo\a-2p2_71cf2651\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64-32,0.3627696747321816,0.3627696747321816,0.9940665094292304,0.0003657914946194643,112.0
trpo,a-2p2_71cf2651,3,runs\nn_size_sweep\trpo\a-2p2_71cf2651\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64-32,0.35837744289038276,0.35837744289038276,0.9949487889530942,0.0004961488017701798,106.0
trpo,a-2p2_da5e9390,1,runs\nn_size_sweep\trpo\a-2p2_da5e9390\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64,0.3578243150871812,0.3578243150871812,0.9950850298203852,0.00038616267236433457,108.0
trpo,a-2p2_da5e9390,2,runs\nn_size_sweep\trpo\a-2p2_da5e9390\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64,0.3608738188021834,0.3608738188021834,0.9910495227135901,0.0004869818030718763,102.0
trpo,a-2p2_da5e9390,3,runs\nn_size_sweep\trpo\a-2p2_da5e9390\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64,0.35635936222937836,0.35635936222937836,0.9962439324792479,0.00034050431543862497,110.0
trpo,a-2p2_22d48190,1,runs\nn_size_sweep\trpo\a-2p2_22d48190\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32,0.3654628682072101,0.3654628682072101,0.992595356685619,0.00039691651821296823,108.0
trpo,a-2p2_22d48190,2,runs\nn_size_sweep\trpo\a-2p2_22d48190\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32,0.35516938284403965,0.35516938284403965,0.9914086180882922,0.0005266035576007695,102.0
trpo,a-2p2_22d48190,3,runs\nn_size_sweep\trpo\a-2p2_22d48190\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32,0.36840962892830587,0.36840962892830587,0.9919242027994677,0.00034206698539372666,110.0
trpo,a-2p2_014f7348,1,runs\nn_size_sweep\trpo\a-2p2_014f7348\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32-32,0.3696996525478221,0.3696996525478221,0.9910814936901406,0.0003451140122527282,112.0
trpo,a-2p2_014f7348,2,runs\nn_size_sweep\trpo\a-2p2_014f7348\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32-32,0.3710841114847868,0.3710841114847868,0.9855149113623939,0.0004641937104365106,104.0
trpo,a-2p2_014f7348,3,runs\nn_size_sweep\trpo\a-2p2_014f7348\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32-32,0.366511431052542,0.366511431052542,0.9951559092180962,0.0002578333161190568,116.0
