mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns,robustness_sigma_1p0_average_fidelity
trpo,a-2p2_6f2e9ca0,1,runs\nn_size_sweep\trpo\a-2p2_6f2e9ca0\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,0.3611911645971346,0.3611911645971346,0.9968778563476296,0.0003103257310292,116.0,0.9591310704155522
trpo,a-2p2_6f2e9ca0,2,runs\nn_size_sweep\trpo\a-2p2_6f2e9ca0\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,0.3602634926851758,0.3602634926851758,0.9942819457748177,0.0003723691272283,110.0,0.9620934799924022
trpo,a-2p2_6f2e9ca0,3,runs\nn_size_sweep\trpo\a-2p2_6f2e9ca0\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,0.3560598614219395,0.3560598614219395,0.993773700770572,0.000418033452339,108.0,0.965432440744578
trpo,a-2p2_71cf2651,1,runs\nn_size_sweep\trpo\a-2p2_71cf2651\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64-32,0.3667413110339707,0.3667413110339707,0.9888990273989104,0.0003889041746485,104.0,0.9556063272304738
trpo,a-2p2_71cf2651,2,runs\nn_size_sweep\trpo\a-2p2_71cf2651\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64-32,0.3627696747321816,0.3627696747321816,0.9940665094292304,0.0003657914946194,112.0,0.9606336222157748
trpo,a-2p2_71cf2651,3,runs\nn_size_sweep\trpo\a-2p2_71cf2651\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64-32,0.3583774428903827,0.3583774428903827,0.9949487889530942,0.0004961488017701,106.0,0.9650414820517252
trpo,a-2p2_da5e9390,1,runs\nn_size_sweep\trpo\a-2p2_da5e9390\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64,0.3578243150871812,0.3578243150871812,0.9950850298203852,0.0003861626723643,108.0,0.9608267887122747
trpo,a-2p2_da5e9390,2,runs\nn_size_sweep\trpo\a-2p2_da5e9390\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64,0.3608738188021834,0.3608738188021834,0.99104952271359,0.0004869818030718,102.0,0.9653677055296535
trpo,a-2p2_da5e9390,3,runs\nn_size_sweep\trpo\a-2p2_da5e9390\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-64-64,0.3563593622293783,0.3563593622293783,0.996243932479248,0.0003405043154386,110.0,0.9648153584176828
trpo,a-2p2_22d48190,1,runs\nn_size_sweep\trpo\a-2p2_22d48190\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32,0.3654628682072101,0.3654628682072101,0.992595356685619,0.0003969165182129,108.0,0.9572893175651043
trpo,a-2p2_22d48190,2,runs\nn_size_sweep\trpo\a-2p2_22d48190\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32,0.3551693828440396,0.3551693828440396,0.9914086180882922,0.0005266035576007,102.0,0.9637778455552048
trpo,a-2p2_22d48190,3,runs\nn_size_sweep\trpo\a-2p2_22d48190\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32,0.3684096289283058,0.3684096289283058,0.9919242027994676,0.0003420669853937,110.0,0.9637576931137133
trpo,a-2p2_014f7348,1,runs\nn_size_sweep\trpo\a-2p2_014f7348\seed_1,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32-32,0.3696996525478221,0.3696996525478221,0.9910814936901406,0.0003451140122527,112.0,0.9554956831820296
trpo,a-2p2_014f7348,2,runs\nn_size_sweep\trpo\a-2p2_014f7348\seed_2,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32-32,0.3710841114847868,0.3710841114847868,0.985514911362394,0.0004641937104365,104.0,0.9607742800843209
trpo,a-2p2_014f7348,3,runs\nn_size_sweep\trpo\a-2p2_014f7348\seed_3,2.2,pi/2,0.01,0.4,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,128-64-32-32,0.366511431052542,0.366511431052542,0.9951559092180962,0.000257833316119,116.0,0.960462040126415
