method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
adam_noise,0.1,60,0.9856627593805997,0.9820784492257495,1.7282938537564255e-06
adam_noise,0.101,60,0.9854062851385268,0.9817578564231586,1.6380600100868713e-06
adam_noise,0.102,60,0.9853145562469638,0.9816431953087051,9.63405291584515e-07
adam_noise,0.103,60,0.9854340019648377,0.9817925024560471,1.9264502672607115e-06
adam_noise,0.104,60,0.9852245579932263,0.9815306974915327,1.9113702699124633e-06
adam_noise,0.105,60,0.9854035205906199,0.9817544007382748,1.5369724665900115e-06
adam_noise,0.106,60,0.9853058246864297,0.981632280858037,1.7059613038320728e-06
adam_noise,0.107,60,0.9856029961369024,0.9820037451711279,2.351498327384741e-06
adam_noise,0.108,60,0.985389123965388,0.9817364049567349,1.445278132496885e-06
adam_noise,0.109,60,0.9857469839503642,0.9821837299379553,1.6403579813901929e-06
adam_noise,0.11,60,0.9853468730416286,0.9816835913020358,1.3326733276781861e-06
adam_noise,0.111,60,0.9852819845049816,0.9816024806312268,2.819457664120241e-06
adam_noise,0.112,60,0.9852920124704841,0.9816150155881053,2.0828437768429136e-06
adam_noise,0.113,60,0.985518565444674,0.9818982068058425,2.1742017408279254e-06
adam_noise,0.114,60,0.9851683981540165,0.9814604976925206,1.6414157367903546e-06
adam_noise,0.115,60,0.9854908964487881,0.9818636205609848,2.2043195544050137e-06
adam_noise,0.116,60,0.9854812415880556,0.9818515519850693,2.4840079026640344e-06
adam_noise,0.117,60,0.9853672719811443,0.9817090899764301,2.087558682348631e-06
adam_noise,0.118,60,0.9851999365475468,0.9814999206844335,2.347700390478941e-06
adam_noise,0.119,60,0.9852169835459558,0.9815212294324446,2.3819071943333816e-06
adam_noise,0.12,60,0.9854381987377141,0.9817977484221424,2.051008061564843e-06
adam_noise,0.121,60,0.9852564313518724,0.9815705391898404,1.832243426202635e-06
adam_noise,0.122,60,0.9852698547111729,0.981587318388966,1.92567482177782e-06
adam_noise,0.123,60,0.9853924156279149,0.9817405195348936,2.4267896927591788e-06
adam_noise,0.124,60,0.9853891416301579,0.9817364270376973,2.0413550337451343e-06
adam_noise,0.125,60,0.9850534107529256,0.9813167634411573,2.7726188785787365e-06
adam_noise,0.126,60,0.985277294077614,0.9815966175970173,2.116454091498537e-06
adam_noise,0.127,60,0.9850665064796573,0.9813331330995717,3.777030884213251e-06
adam_noise,0.128,60,0.9856321239778488,0.9820401549723108,2.5235281625058624e-06
adam_noise,0.129,60,0.9851804927988577,0.9814756159985721,2.2175782033005175e-06
adam_noise,0.13,60,0.9851933114676887,0.981491639334611,2.4116262277826774e-06
adam_noise,0.131,60,0.9852393386027019,0.9815491732533774,3.038713781330991e-06
adam_noise,0.132,60,0.9853740707315567,0.9817175884144459,3.1132056955894546e-06
adam_noise,0.133,60,0.9855658723961022,0.9819573404951275,2.3148818220270665e-06
