method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
noise,0.1,60,0.9986827176040951,0.9983533970051188,1.7872324433687375e-07
noise,0.101,60,0.9987365975507327,0.9984207469384159,1.449842919212733e-07
noise,0.102,60,0.9987082798290686,0.9983853497863359,1.5676764647495173e-07
noise,0.103,60,0.9986956200409406,0.9983695250511757,2.0319323842631714e-07
noise,0.104,60,0.9987222508811833,0.9984028136014792,1.7856363445029016e-07
noise,0.105,60,0.9986692949083782,0.9983366186354726,1.5018634538888087e-07
noise,0.106,60,0.9987140579143721,0.9983925723929653,1.3740254990947898e-07
noise,0.107,60,0.9987440593571919,0.9984300741964899,1.2780882703379128e-07
noise,0.108,60,0.9987240003726531,0.9984050004658164,1.3172696091405659e-07
noise,0.109,60,0.9986501119527171,0.9983126399408965,1.7110381428669244e-07
noise,0.11,60,0.9986690034585269,0.9983362543231586,1.6529144336176778e-07
noise,0.111,60,0.998720963924236,0.9984012049052952,2.085885842787244e-07
noise,0.112,60,0.9986560781803875,0.9983200977254841,2.2160127018366488e-07
noise,0.113,60,0.9986633746503664,0.9983292183129582,1.5377737545885694e-07
noise,0.114,60,0.9986984124950754,0.9983730156188441,1.5119720719137784e-07
noise,0.115,60,0.9986737949032656,0.9983422436290817,1.8711969887906134e-07
noise,0.116,60,0.9987189697424874,0.9983987121781092,1.4712281350658706e-07
noise,0.117,60,0.998702001934578,0.9983775024182222,1.8067921222991704e-07
noise,0.118,60,0.9986511814795371,0.9983139768494216,1.3816773542452607e-07
noise,0.119,60,0.9985893485692459,0.9982366857115572,1.874674568989442e-07
noise,0.12,60,0.9986121880236012,0.9982652350295012,1.3044738705512515e-07
noise,0.121,60,0.9985766701315101,0.9982208376643877,2.220021641673005e-07
noise,0.122,60,0.9985145859536413,0.9981432324420515,2.2029281448994748e-07
noise,0.123,60,0.9985976535203256,0.9982470669004067,1.857323436996652e-07
noise,0.124,60,0.9987411958550843,0.9984264948188551,2.4034438331918717e-07
noise,0.125,60,0.998587882689731,0.9982348533621637,2.2139758036507752e-07
noise,0.126,60,0.9985494957289393,0.9981868696611739,2.7230775912699317e-07
noise,0.127,60,0.9985883614462566,0.9982354518078209,2.6929399575096214e-07
noise,0.128,60,0.9985754131496751,0.9982192664370937,1.8673891605046887e-07
noise,0.129,60,0.9985225619272431,0.9981532024090539,2.0214621956852954e-07
noise,0.13,60,0.9986085885831546,0.9982607357289432,1.8705343973049914e-07
noise,0.131,60,0.9985962647073117,0.9982453308841397,2.6127835205324277e-07
noise,0.132,60,0.9985792285631272,0.9982240357039089,2.4647209639880835e-07
noise,0.133,60,0.9984499101737875,0.9980623877172342,3.7218366685843036e-07
noise,0.134,60,0.998446321703121,0.998057902128901,2.967903718837489e-07
noise,0.135,60,0.9985089682387813,0.9981362102984767,3.005139786824888e-07
noise,0.136,60,0.998546314643185,0.998182893303981,2.816490162836055e-07
noise,0.137,60,0.9985573417538162,0.99819667719227,2.484277613323727e-07
noise,0.138,60,0.9984808979189124,0.9981011223986407,3.723924300493012e-07
noise,0.139,60,0.9984310202315533,0.9980387752894416,3.4487912121141973e-07
noise,0.14,60,0.9984680210491899,0.9980850263114872,2.942146899632671e-07
noise,0.141,60,0.9983157986324109,0.9978947482905139,4.3778639813072134e-07
noise,0.142,60,0.9984123572287598,0.9980154465359495,6.119629769805606e-07
noise,0.143,60,0.9984635938996482,0.9980794923745602,3.6233229936145153e-07
noise,0.144,60,0.9985195732478775,0.9981494665598465,4.23031872813417e-07
noise,0.145,60,0.9984738793549532,0.9980923491936918,3.632990458939096e-07
noise,0.146,60,0.9984727712730262,0.9980909640912828,2.033636495278443e-07
