method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
nominal,0.1,60,0.995049095082678,0.9938113688533476,1.172927207109294e-06
nominal,0.101,60,0.9949541115523868,0.9936926394404838,9.008777055437532e-07
nominal,0.102,60,0.9948097483805161,0.9935121854756451,7.930418482625733e-07
nominal,0.103,60,0.9950589823471166,0.9938237279338956,1.0761274458915874e-06
nominal,0.104,60,0.9948353967668307,0.9935442459585384,1.235112558354244e-06
nominal,0.105,60,0.9948930847321082,0.9936163559151351,7.078686300388791e-07
nominal,0.106,60,0.9948340890636157,0.9935426113295194,9.46933190305877e-07
nominal,0.107,60,0.9948703490933891,0.9935879363667363,1.4552181923135345e-06
nominal,0.108,60,0.9949832362542268,0.9937290453177834,9.648628008306795e-07
nominal,0.109,60,0.9951325320028241,0.9939156650035301,1.3072688288216816e-06
nominal,0.11,60,0.9948974931058076,0.9936218663822594,8.565517493993569e-07
nominal,0.111,60,0.9946769869857154,0.993346233732144,1.2328823112275952e-06
nominal,0.112,60,0.9949162417672657,0.9936453022090823,1.2380443784565957e-06
nominal,0.113,60,0.9949377332529633,0.9936721665662038,1.3556562279846137e-06
nominal,0.114,60,0.9946900928242983,0.9933626160303727,9.935892728795494e-07
nominal,0.115,60,0.9948665993003243,0.9935832491254052,1.486891794411181e-06
nominal,0.116,60,0.994859369099324,0.993574211374155,1.5919444967393844e-06
nominal,0.117,60,0.9948815525390629,0.9936019406738285,1.389050968525397e-06
nominal,0.118,60,0.9947173743915076,0.9933967179893844,1.7757048604525774e-06
nominal,0.119,60,0.9949935495805236,0.9937419369756542,1.539572107470144e-06
nominal,0.12,60,0.9947965482806981,0.9934956853508725,1.2869768198237607e-06
nominal,0.121,60,0.9947379736110759,0.9934224670138446,1.2054630071701517e-06
nominal,0.122,60,0.9948829669136864,0.9936037086421082,1.3537436957516236e-06
nominal,0.123,60,0.9948534592361441,0.9935668240451799,2.3151154866697766e-06
nominal,0.124,60,0.9947979001716605,0.9934973752145757,1.4427127878179576e-06
nominal,0.125,60,0.9946024470624263,0.9932530588280327,2.05142267267706e-06
nominal,0.126,60,0.9946246527806126,0.9932808159757659,1.5831235229494112e-06
nominal,0.127,60,0.9945267635325075,0.9931584544156344,1.9661233219129265e-06
nominal,0.128,60,0.9949478087426048,0.993684760928256,2.001900923280012e-06
nominal,0.129,60,0.9947523808980491,0.9934404761225616,2.032114177497959e-06
nominal,0.13,60,0.9947207434679547,0.9934009293349437,1.5304273082043486e-06
nominal,0.131,60,0.9946647081394279,0.9933308851742849,1.237601618480521e-06
nominal,0.132,60,0.9948316542934642,0.9935395678668301,1.862018917177614e-06
nominal,0.133,60,0.995011151847994,0.9937639398099923,1.8895882271001121e-06
nominal,0.134,60,0.9945687513194639,0.9932109391493299,1.3511618979241303e-06
nominal,0.135,60,0.9947831546255408,0.9934789432819261,1.3274752257074491e-06
nominal,0.136,60,0.9945767408677476,0.9932209260846844,1.8461673462135526e-06
nominal,0.137,60,0.9947613580418984,0.993451697552373,1.8554445942987852e-06
nominal,0.138,60,0.9945116999725973,0.9931396249657466,2.5366711740071066e-06
nominal,0.139,60,0.9947141011413685,0.9933926264267102,2.1330032815497524e-06
nominal,0.14,60,0.9947588598566368,0.9934485748207961,1.5084856833184616e-06
nominal,0.141,60,0.9947259940882806,0.9934074926103507,2.3233942875419607e-06
nominal,0.142,60,0.9948195904771198,0.9935244880963995,1.99670760494811e-06
nominal,0.143,60,0.9944960505836651,0.9931200632295812,2.1346265718996733e-06
nominal,0.144,60,0.9946016491412305,0.9932520614265382,1.4621942621361848e-06
nominal,0.145,60,0.9945103479917888,0.993137934989736,2.1728279519529333e-06
nominal,0.146,60,0.9947226208847388,0.9934032761059236,1.4452367301371475e-06
nominal,0.147,60,0.9947478148280112,0.9934347685350141,2.2892381883331487e-06
nominal,0.148,60,0.9944773894993766,0.9930967368742205,2.5785351925188692e-06
nominal,0.149,60,0.9946325971852693,0.9932907464815864,1.8426018522944628e-06
nominal,0.15,60,0.9944910904862049,0.9931138631077562,2.8552513394921187e-06
nominal,0.151,60,0.9945584619869504,0.9931980774836879,2.172316098475077e-06
nominal,0.152,60,0.9943588254760869,0.9929485318451087,2.28397617017471e-06
nominal,0.153,60,0.9946854089671648,0.993356761208956,2.37227866405064e-06
nominal,0.154,60,0.9945597361682044,0.9931996702102555,2.2358193724009107e-06
nominal,0.155,60,0.9947266196707872,0.9934082745884839,2.0554395530559263e-06
nominal,0.156,60,0.9945668014797374,0.9932085018496718,2.719438804108353e-06
nominal,0.157,60,0.9940956316841935,0.9926195396052417,2.835206843247876e-06
nominal,0.158,60,0.9947468176555021,0.9934335220693777,3.0688187472536657e-06
nominal,0.159,60,0.9946112716917977,0.993264089614747,2.0578859789393904e-06
nominal,0.16,60,0.9944611596616547,0.9930764495770682,2.3660862244261106e-06
nominal,0.161,60,0.9944966968310798,0.9931208710388496,2.287387062865342e-06
nominal,0.162,60,0.9946049613915338,0.9932562017394171,2.557563228883614e-06
nominal,0.163,60,0.9943225546229425,0.9929031932786782,2.7627973995817e-06
nominal,0.164,60,0.994270622538409,0.9928382781730111,3.457523512873328e-06
nominal,0.165,60,0.994505850055369,0.9931323125692112,2.135337611669291e-06
nominal,0.166,60,0.9942854112792624,0.9928567640990782,4.469706532973662e-06
nominal,0.167,60,0.9944312555810054,0.993039069476257,3.10160129429257e-06
nominal,0.168,60,0.9942995338885308,0.9928744173606636,2.352301611018226e-06
