method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
noise,0.1,60,0.9986827176040951,0.9983533970051188,1.7872324433687375e-07
noise,0.11,60,0.998685075886362,0.9983563448579523,1.754320311858878e-07
noise,0.12,60,0.9986003199038891,0.9982503998798612,2.2041494408264274e-07
noise,0.13,60,0.9985140271406107,0.9981425339257634,3.5742549585743764e-07
noise,0.14,60,0.9984942984226916,0.9981178730283646,3.646044840991042e-07
noise,0.15,60,0.998331566555177,0.9979144581939713,3.4926579328467114e-07
noise,0.16,60,0.9983413029815456,0.9979266287269318,3.673235412647726e-07
noise,0.17,60,0.9983098571627839,0.9978873214534798,4.0278111882648365e-07
noise,0.18,60,0.9981736483648564,0.9977170604560706,4.330270421024467e-07
noise,0.19,60,0.9979638012805719,0.9974547516007147,6.767983056464529e-07
noise,0.2,60,0.997889454687469,0.9973618183593362,7.351368303009552e-07
noise,0.21,60,0.9979017948772889,0.9973772435966111,1.0964684591140041e-06
noise,0.22,60,0.9976447280547925,0.9970559100684908,1.3081553462095225e-06
noise,0.23,60,0.9975359629000234,0.9969199536250293,9.260997164135188e-07
noise,0.24,60,0.9975609946694075,0.9969512433367596,9.465133577348731e-07
noise,0.25,60,0.9974731182724142,0.9968413978405177,1.5051527755443992e-06
noise,0.26,60,0.9974120650696421,0.9967650813370524,1.1977177481488072e-06
noise,0.27,60,0.9973541614461188,0.9966927018076482,1.5791659599254162e-06
noise,0.28,60,0.9970271366972923,0.996283920871615,1.3543415274845853e-06
noise,0.29,60,0.9967238122496275,0.9959047653120343,2.1756178885588127e-06
noise,0.3,60,0.9964430612462846,0.9955538265578556,1.7169671455026467e-06
noise,0.31,60,0.9962844772055441,0.9953555965069302,3.2495068220523762e-06
noise,0.32,60,0.9960264591067685,0.9950330738834602,3.4068934524836053e-06
noise,0.33,60,0.9960052879099188,0.9950066098873983,2.1884811624093727e-06
noise,0.34,60,0.9963306755367743,0.9954133444209677,4.194018397460211e-06
noise,0.35,60,0.9956930904712264,0.994616363089033,4.642982713954809e-06
noise,0.36,60,0.9954621498620867,0.9943276873276083,5.623635440123942e-06
noise,0.37,60,0.9952673982050304,0.994084247756288,5.411073799547178e-06
noise,0.38,60,0.9954084800565458,0.9942606000706821,3.868293463755667e-06
noise,0.39,60,0.9948820475064439,0.993602559383055,5.206994227000519e-06
noise,0.4,60,0.9949351553312031,0.9936689441640041,5.989167865006291e-06
noise,0.41,60,0.9946550281389414,0.9933187851736768,7.328265229499034e-06
noise,0.42,60,0.9947374637000191,0.993421829625024,6.104115419475317e-06
noise,0.43,60,0.9936065005720679,0.9920081257150849,1.1629582702109368e-05
noise,0.44,60,0.99343800071019,0.9917975008877373,1.251688091863154e-05
noise,0.45,60,0.9934194041265885,0.9917742551582355,1.2798478933243689e-05
noise,0.46,60,0.9933364492963435,0.9916705616204294,1.041238645345807e-05
noise,0.47,60,0.993396023311275,0.991745029139094,1.0322639585815806e-05
noise,0.48,60,0.9925973141553392,0.9907466426941741,1.7303925478689497e-05
noise,0.49,60,0.9919240100195648,0.9899050125244561,1.7588883071620766e-05
noise,0.5,60,0.992501315426188,0.9906266442827348,1.1205150372471899e-05
noise,0.51,60,0.9911282184479845,0.9889102730599806,2.5258795753177776e-05
noise,0.52,60,0.991518813621325,0.9893985170266563,3.363873842936099e-05
noise,0.53,60,0.9913693566249848,0.989211695781231,2.088727011163577e-05
noise,0.54,60,0.9916768764799365,0.9895960955999208,2.0538178929637978e-05
noise,0.55,60,0.9914843591576574,0.9893554489470718,2.0352819328699956e-05
noise,0.56,60,0.991367347017889,0.9892091837723612,1.0774817431981513e-05
noise,0.57,60,0.9906315430383192,0.9882894287978989,2.08594021890941e-05
noise,0.58,60,0.9906060352121996,0.9882575440152493,2.165648696990137e-05
noise,0.59,60,0.9890250895410649,0.986281361926331,2.8207011347120935e-05
noise,0.6,60,0.989711587124877,0.9871394839060961,3.414771684967131e-05
noise,0.61,60,0.9888562910550519,0.9860703638188149,2.6745579604655072e-05
noise,0.62,60,0.989058894682449,0.9863236183530615,3.091836699398871e-05
noise,0.63,60,0.9881037231575291,0.9851296539469115,3.206296250046729e-05
noise,0.64,60,0.986928637823318,0.9836607972791475,5.8943320665556135e-05
noise,0.65,60,0.986594864903892,0.9832435811298651,4.8036509699740976e-05
noise,0.66,60,0.9885505227876021,0.9856881534845026,2.2109602957914217e-05
noise,0.67,60,0.9881921432868807,0.9852401791086007,4.7138939430262925e-05
noise,0.68,60,0.9870396200254099,0.9837995250317626,4.632481656663208e-05
noise,0.69,60,0.9872995896421429,0.9841244870526786,4.324010633189958e-05
noise,0.7,60,0.9860870069926522,0.9826087587408153,5.1866943336713866e-05
noise,0.71,60,0.9845964442611376,0.9807455553264217,6.87263432104472e-05
noise,0.72,60,0.9857208480715745,0.982151060089468,8.025394125705654e-05
noise,0.73,60,0.9862864762927597,0.9828580953659495,4.090580937737984e-05
noise,0.74,60,0.9844813610508754,0.9806017013135941,4.9724036979867106e-05
noise,0.75,60,0.9840313801860273,0.980039225232534,5.649790630900062e-05
noise,0.76,60,0.9848733091033879,0.9810916363792348,6.371085753175505e-05
noise,0.77,60,0.9849269715616394,0.981158714452049,6.407726858710372e-05
noise,0.78,60,0.9828961996286782,0.9786202495358476,7.847756013324063e-05
noise,0.79,60,0.9822945095077007,0.9778681368846259,8.894647355588304e-05
noise,0.8,60,0.9822971014879198,0.9778713768598994,9.526626590496983e-05
noise,0.81,60,0.9793298667170742,0.9741623333963426,0.00012474889889093284
noise,0.82,60,0.9825799829003619,0.9782249786254522,6.296833738307102e-05
noise,0.83,60,0.9814632099637397,0.9768290124546747,0.00015525119824540538
noise,0.84,60,0.9808294060449093,0.9760367575561367,0.00013723736830768168
noise,0.85,60,0.9805687737755644,0.9757109672194554,0.00014905385122154094
noise,0.86,60,0.9787644165179238,0.9734555206474046,0.00017479500630802623
noise,0.87,60,0.9790338923111636,0.9737923653889542,0.00011686588000402297
noise,0.88,60,0.9795070606436526,0.9743838258045654,7.84230846020283e-05
noise,0.89,60,0.9782505365110815,0.972813170638852,0.00012887739767261379
noise,0.9,60,0.9778361176241269,0.9722951470301585,0.00011435768241366886
noise,0.91,60,0.9755345811818871,0.9694182264773586,0.00017072475497382066
noise,0.92,60,0.97641866915589,0.9705233364448625,7.650730514946425e-05
noise,0.93,60,0.9769073307983162,0.971134163497895,0.00012148475671404869
noise,0.94,60,0.9771100643729707,0.9713875804662132,0.00018174826669533473
noise,0.95,60,0.9742496063689385,0.9678120079611732,0.0001622876369886023
noise,0.96,60,0.9766223801795839,0.97077797522448,0.00012067597373295327
noise,0.97,60,0.9752149688797944,0.969018711099743,0.00015818584322161932
noise,0.98,60,0.9750105315859345,0.9687631644824182,0.00016606684043515173
noise,0.99,60,0.9748556697876722,0.9685695872345906,0.00015393924719028725
noise,1.0,60,0.9747366493237966,0.9684208116547456,0.0001664385711580051
noise,1.01,60,0.9725152337601346,0.965644042200168,0.00025368679709166447
noise,1.02,60,0.9704691914556233,0.9630864893195289,0.00023905695649943233
noise,1.03,60,0.9705809648841126,0.9632262061051408,0.00024496746228321574
noise,1.04,60,0.9704070632202081,0.9630088290252599,0.00025889685207130115
noise,1.05,60,0.9731268959298831,0.9664086199123538,0.00018144409234674213
noise,1.06,60,0.9699472540377108,0.9624340675471382,0.0002083529742452234
noise,1.07,60,0.970976429499987,0.9637205368749837,0.00022655832969511295
noise,1.08,60,0.9662325988598884,0.9577907485748602,0.000495150906601995
noise,1.09,60,0.9683627891406918,0.9604534864258645,0.00016817606316353153
noise,1.1,60,0.9699896902013783,0.9624871127517227,0.00021550105669637545
noise,1.11,60,0.9675440267887725,0.9594300334859656,0.0002055151584490116
noise,1.12,60,0.9647071105232691,0.9558838881540861,0.0003535888693688852
noise,1.13,60,0.9654319048352186,0.9567898810440233,0.0002880136852399837
noise,1.14,60,0.9663899404637419,0.9579874255796771,0.00031138270339502346
noise,1.15,60,0.9646274953503448,0.9557843691879311,0.0003164575744921342
noise,1.16,60,0.9631079544226321,0.9538849430282903,0.0003730464632236037
noise,1.17,60,0.9647720025348833,0.9559650031686041,0.00026161815665183964
noise,1.18,60,0.9643901357522986,0.955487669690373,0.0003263632811613453
noise,1.19,60,0.9641089312109415,0.955136164013677,0.00020345086245014823
noise,1.2,60,0.9641297792952191,0.955162224119024,0.00033180289888054196
noise,1.21,60,0.9611378544772576,0.9514223180965721,0.00039946740442041006
noise,1.22,60,0.9618647124902442,0.9523308906128053,0.0003247721985177516
noise,1.23,60,0.9584760469866132,0.9480950587332662,0.00031244310844589184
noise,1.24,60,0.9580855755072144,0.947606969384018,0.0005150227930149692
noise,1.25,60,0.957273793576454,0.9465922419705675,0.0005372724649480114
noise,1.26,60,0.9571442077691519,0.9464302597114397,0.0004713997125231443
noise,1.27,60,0.9568308027565776,0.946038503445722,0.0003156569758010216
noise,1.28,60,0.9536060697211965,0.9420075871514957,0.00045733184573275445
noise,1.29,60,0.952925013958912,0.9411562674486402,0.0006946344075442816
noise,1.3,60,0.958929588554776,0.9486619856934699,0.0003300689199779548
noise,1.31,60,0.9567415277958121,0.9459269097447653,0.0005906722131089775
noise,1.32,60,0.9538725741675761,0.9423407177094701,0.0005622843624529696
noise,1.33,60,0.9507607039599772,0.9384508799499716,0.0008260393227371098
noise,1.34,60,0.9562590103126148,0.9453237628907687,0.0004172468536027195
noise,1.35,60,0.9535927667929904,0.9419909584912379,0.0007679334924220076
noise,1.36,60,0.9532805796207953,0.9416007245259939,0.0004939647199749753
noise,1.37,60,0.947776811492825,0.9347210143660314,0.0007543723958285844
noise,1.38,60,0.9459724278306194,0.9324655347882743,0.0006220943441268171
noise,1.39,60,0.9513146451808674,0.939143306476084,0.0004925348184274395
noise,1.4,60,0.9454867662756006,0.9318584578445007,0.0006886822680197069
noise,1.41,60,0.9468263605848336,0.9335329507310417,0.0005067832089342804
noise,1.42,60,0.9474553791973076,0.9343192239966347,0.0005115099498140271
noise,1.43,60,0.9442688483470972,0.9303360604338716,0.0008449540689743375
noise,1.44,60,0.9474816317566206,0.9343520396957756,0.0004867185701904756
noise,1.45,60,0.9433204699475907,0.9291505874344883,0.0006942452137667655
noise,1.46,60,0.9490604218414007,0.9363255273017507,0.0004597031851779821
noise,1.47,60,0.9441489357827573,0.9301861697284466,0.0006748033180909666
noise,1.48,60,0.9476044856523373,0.9345056070654214,0.00045861077216202863
noise,1.49,60,0.9492600314467794,0.9365750393084742,0.0007041874938598791
noise,1.5,60,0.9422640306938143,0.927830038367268,0.0006247414192725997
noise,1.51,60,0.9380450937211949,0.9225563671514933,0.001026232065106479
noise,1.52,60,0.9443414172276479,0.93042677153456,0.0007814427522299441
noise,1.53,60,0.9384718280332344,0.9230897850415432,0.0010151455078909546
noise,1.54,60,0.9378081415480065,0.9222601769350081,0.0007552238653358675
noise,1.55,60,0.9408726961973652,0.9260908702467066,0.0008069981234052098
noise,1.56,60,0.9378084294861323,0.9222605368576653,0.000665148035645733
noise,1.57,60,0.9341398983788072,0.917674872973509,0.0011076813845272454
noise,1.58,60,0.9319377624432289,0.9149222030540363,0.0013899665867914137
noise,1.59,60,0.9362159256798332,0.9202699070997915,0.0011733329742518355
noise,1.6,60,0.9331819833108277,0.9164774791385347,0.0010868871534594488
noise,1.61,60,0.9306458594528811,0.9133073243161014,0.0017693621901086645
noise,1.62,60,0.9358785162621285,0.9198481453276607,0.001410046442699238
noise,1.63,60,0.933119028234636,0.9163987852932948,0.0007413958352107768
noise,1.64,60,0.9270279959966544,0.9087849949958179,0.001554295353929539
noise,1.65,60,0.9287168285487027,0.9108960356858785,0.001145652232711523
noise,1.66,60,0.9328201796797405,0.9160252245996755,0.0010951558727605177
noise,1.67,60,0.9279924017859518,0.9099905022324397,0.0014335856479015586
noise,1.68,60,0.9295402064238183,0.9119252580297724,0.0011498204126205332
noise,1.69,60,0.9323575980843736,0.9154469976054668,0.000965028858765609
noise,1.7,60,0.9243953755276583,0.9054942194095728,0.0015615245836833964
noise,1.71,60,0.9287706954687238,0.9109633693359046,0.0013409626117529875
noise,1.72,60,0.9254558330754361,0.9068197913442949,0.0009474100217370502
noise,1.73,60,0.929375838112334,0.9117197976404174,0.0010470970810021163
noise,1.74,60,0.9225685186174826,0.9032106482718533,0.0012380329159138242
noise,1.75,60,0.9264687311381729,0.9080859139227163,0.0012929356087260336
noise,1.76,60,0.916166795741137,0.8952084946764212,0.0016494379329714895
noise,1.77,60,0.9158217591136663,0.8947771988920827,0.0014231639444499144
noise,1.78,60,0.9270192698521801,0.9087740873152252,0.0015787892408074542
noise,1.79,60,0.915584694726935,0.8944808684086687,0.001281699526595976
noise,1.8,60,0.9196393999686393,0.8995492499607992,0.0014237919082123677
noise,1.81,60,0.9232760354426461,0.9040950443033078,0.001596446464565749
noise,1.82,60,0.9116218015989365,0.8895272519986704,0.0022111750749901626
noise,1.83,60,0.9205643673720818,0.9007054592151021,0.0015124746415843163
noise,1.84,60,0.9092497835258115,0.8865622294072643,0.0017592420752438327
noise,1.85,60,0.9172697394115205,0.8965871742644004,0.001543278523963075
noise,1.86,60,0.9123821471974192,0.890477683996774,0.0019036898920784244
noise,1.87,60,0.9079740599618126,0.8849675749522656,0.0022037080855778256
noise,1.88,60,0.9142259332396986,0.8927824165496234,0.0011384265195748318
noise,1.89,60,0.9149410188908477,0.8936762736135597,0.0017190030467976345
noise,1.9,60,0.9077719389650394,0.8847149237062994,0.0019473624208883357
noise,1.91,60,0.9115227533304264,0.8894034416630329,0.0023196128232893837
noise,1.92,60,0.9114915136376812,0.8893643920471013,0.0020179487346149902
noise,1.93,60,0.9142507456260479,0.8928134320325596,0.001294450080769574
noise,1.94,60,0.911191135372631,0.8889889192157887,0.0012873550251493073
noise,1.95,60,0.9007933282402617,0.8759916603003273,0.002589896202880445
noise,1.96,60,0.9093355683162102,0.8866694603952626,0.0023541905752202503
noise,1.97,60,0.9014793869444899,0.8768492336806125,0.0020511295999529272
noise,1.98,60,0.9029796923829658,0.8787246154787071,0.0021168235443367683
noise,1.99,60,0.9043043135648038,0.8803803919560048,0.0020897637446916193
noise,2.0,60,0.8976214410965938,0.8720268013707418,0.0021518588769503864
noise,2.01,60,0.9021000627259614,0.877625078407452,0.002315459759598031
noise,2.02,60,0.8975515122575444,0.87193939032193,0.00289031002521496
noise,2.03,60,0.8968515587398941,0.8710644484248677,0.002368405607175377
noise,2.04,60,0.9000740882192215,0.875092610274027,0.0028507419767551017
noise,2.05,60,0.8966922158160813,0.8708652697701018,0.0016155031351697774
noise,2.06,60,0.8923519453838573,0.8654399317298218,0.002991508344522264
noise,2.07,60,0.9010560444881854,0.8763200556102319,0.0019510343653388557
noise,2.08,60,0.883852294889746,0.8548153686121824,0.003318617626002026
noise,2.09,60,0.8961366429495057,0.870170803686882,0.0024497206940526034
noise,2.1,60,0.8906184826922457,0.8632731033653073,0.0025548891121574347
noise,2.11,60,0.892387512478443,0.8654843905980537,0.003369176676481671
noise,2.12,60,0.8932343697001786,0.8665429621252235,0.0018473365304935885
noise,2.13,60,0.8934533984973015,0.8668167481216268,0.0025642999584011214
noise,2.14,60,0.8823682424531434,0.852960303066429,0.003279235121710822
noise,2.15,60,0.8874050448901099,0.8592563061126374,0.0027168515422714293
noise,2.16,60,0.8768684467759491,0.846085558469936,0.0035251883600047806
noise,2.17,60,0.8851731445842422,0.8564664307303025,0.0033549620910663935
noise,2.18,60,0.8737121824528409,0.8421402280660515,0.0034217682367665425
noise,2.19,60,0.8838309982888859,0.8547887478611074,0.0031876873999927098
noise,2.2,60,0.8877400514852618,0.859675064356577,0.002358436749104817
noise,2.21,60,0.8844887705795185,0.855610963224398,0.0023186424485285946
noise,2.22,60,0.8691234441990473,0.8364043052488089,0.003652999791189551
noise,2.23,60,0.8850210388994623,0.8562762986243276,0.0031277796419246612
noise,2.24,60,0.8742125108046669,0.8427656385058335,0.0035791259598521035
noise,2.25,60,0.8746047416518646,0.8432559270648309,0.004166551364520831
noise,2.26,60,0.8745870024225573,0.8432337530281967,0.004463903045896264
noise,2.27,60,0.8717282955718156,0.8396603694647694,0.0030119140962786293
noise,2.28,60,0.8694209342217608,0.8367761677772011,0.003028111198664994
noise,2.29,60,0.8739853468680032,0.8424816835850039,0.0036704304945345467
noise,2.3,60,0.8892607007870468,0.8615758759838085,0.001941352606789348
noise,2.31,60,0.8693081930725708,0.8366352413407135,0.0038149809648809056
