method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
nominal,0.1,60,0.995049095082678,0.9938113688533476,1.172927207109294e-06
nominal,0.11,60,0.9948872005816928,0.9936090007271159,1.0750832353209877e-06
nominal,0.12,60,0.9946449601601955,0.9933062002002442,1.109794902563897e-06
nominal,0.13,60,0.994862917326186,0.9935786466577325,1.7193324339548567e-06
nominal,0.14,60,0.9944991127795326,0.993123890974416,2.320179565525625e-06
nominal,0.15,60,0.9944838745893947,0.9931048432367435,1.438818571634218e-06
nominal,0.16,60,0.9942749499995487,0.9928436874994357,2.34257997261627e-06
nominal,0.17,60,0.9942487590989176,0.992810948873647,4.133827655521313e-06
nominal,0.18,60,0.9943166714749672,0.992895839343709,3.053535419996837e-06
nominal,0.19,60,0.9944382712949331,0.9930478391186662,4.428162859317641e-06
nominal,0.2,60,0.9939207244848215,0.9924009056060269,2.96864918012867e-06
nominal,0.21,60,0.9934105318856666,0.9917631648570833,5.297298744465643e-06
nominal,0.22,60,0.9936603657411367,0.9920754571764209,5.164063965024369e-06
nominal,0.23,60,0.9935573648372937,0.9919467060466172,5.893440906490151e-06
nominal,0.24,60,0.992991763317951,0.9912397041474387,5.686589669257729e-06
nominal,0.25,60,0.9931409054658826,0.991426131832353,8.247936290398229e-06
nominal,0.26,60,0.9929119340895408,0.9911399176119259,9.156868916599197e-06
nominal,0.27,60,0.992890711141164,0.9911133889264548,9.275947349002805e-06
nominal,0.28,60,0.9923442004425671,0.9904302505532085,1.3534247792548119e-05
nominal,0.29,60,0.9929180230215704,0.9911475287769628,1.0463912986412662e-05
nominal,0.3,60,0.9920687292120576,0.9900859115150717,1.0790106965313748e-05
nominal,0.31,60,0.991854474681717,0.9898180933521462,8.804391056423931e-06
nominal,0.32,60,0.9918270763091016,0.989783845386377,1.13425326081628e-05
nominal,0.33,60,0.9917214144373026,0.9896517680466281,2.1433539596949818e-05
nominal,0.34,60,0.9913816493886867,0.9892270617358585,1.3335060697270896e-05
nominal,0.35,60,0.9903269388167371,0.9879086735209215,2.0678567641741873e-05
nominal,0.36,60,0.9904906231002976,0.9881132788753718,1.811151303551206e-05
nominal,0.37,60,0.9898095332124414,0.9872619165155517,2.4377949134084594e-05
nominal,0.38,60,0.9909714940412124,0.9887143675515156,2.262176924556333e-05
nominal,0.39,60,0.9901527166412015,0.9876908958015017,2.4677791293236235e-05
nominal,0.4,60,0.9897543483251191,0.9871929354063991,2.307865614680338e-05
nominal,0.41,60,0.9895337605324674,0.986917200665584,1.8893217952744055e-05
nominal,0.42,60,0.9898372787808708,0.9872965984760884,2.619357900065015e-05
nominal,0.43,60,0.9897228268095954,0.9871535335119943,2.592328813226962e-05
nominal,0.44,60,0.9883852888593712,0.9854816110742141,2.029743860018157e-05
nominal,0.45,60,0.9890144249120653,0.9862680311400814,1.932123630240391e-05
nominal,0.46,60,0.9875648383412461,0.9844560479265577,3.153858006719968e-05
nominal,0.47,60,0.9884516365004505,0.9855645456255634,3.726821792127593e-05
nominal,0.48,60,0.9867129631505785,0.9833912039382228,5.1582766315862934e-05
nominal,0.49,60,0.9873207019224837,0.9841508774031044,3.765396344312781e-05
nominal,0.5,60,0.9877098217624134,0.9846372772030167,2.372418037051074e-05
nominal,0.51,60,0.9863308468073586,0.9829135585091981,3.992622589060442e-05
nominal,0.52,60,0.9873139295828173,0.9841424119785215,3.306612639152609e-05
nominal,0.53,60,0.9850480436832932,0.9813100546041162,4.7400915330650346e-05
nominal,0.54,60,0.9855279953363651,0.9819099941704564,4.269351711737226e-05
nominal,0.55,60,0.9845428180452273,0.980678522556534,5.446648357473635e-05
nominal,0.56,60,0.9857163743981451,0.9821454679976813,3.5440797681611404e-05
nominal,0.57,60,0.9850326699048995,0.981290837381124,6.62242581915768e-05
nominal,0.58,60,0.9836828476137557,0.9796035595171947,6.579355193620506e-05
nominal,0.59,60,0.9841430087435614,0.9801787609294514,4.765841613977948e-05
nominal,0.6,60,0.9827638164313117,0.9784547705391394,7.168457438432458e-05
nominal,0.61,60,0.9825879058842043,0.9782348823552552,5.509435702420028e-05
nominal,0.62,60,0.9819306184759086,0.9774132730948857,7.430483747681889e-05
nominal,0.63,60,0.9820827290652041,0.9776034113315052,7.160357409903385e-05
nominal,0.64,60,0.9812986023875983,0.9766232529844977,6.547258980219955e-05
nominal,0.65,60,0.9818406095067573,0.9773007618834466,5.793527116419801e-05
nominal,0.66,60,0.9821382492739237,0.9776728115924044,8.873698547153582e-05
nominal,0.67,60,0.9778219744193484,0.9722774680241854,0.00011802689240443209
nominal,0.68,60,0.9802879286689552,0.9753599108361939,0.00012263102887062838
nominal,0.69,60,0.9802054917222457,0.9752568646528069,6.839003301750049e-05
nominal,0.7,60,0.9784500163307801,0.9730625204134747,0.00010298901543762477
nominal,0.71,60,0.9786182807374962,0.97327285092187,9.393659274373661e-05
nominal,0.72,60,0.979625075075523,0.9745313438444038,0.00011256163291619597
nominal,0.73,60,0.9770335687732434,0.9712919609665541,0.0001157757837676873
nominal,0.74,60,0.9757105450354608,0.9696381812943258,0.00017359249138360202
nominal,0.75,60,0.9780253080949148,0.9725316351186433,8.016924585448168e-05
nominal,0.76,60,0.9750674543462676,0.9688343179328344,0.00023884515822122224
nominal,0.77,60,0.9751873529297929,0.968984191162241,0.00014991266526993597
nominal,0.78,60,0.9757504898120459,0.9696881122650571,0.00011196304497894189
nominal,0.79,60,0.9756478602009896,0.9695598252512371,0.00010474230796037794
nominal,0.8,60,0.9752218455472147,0.9690273069340181,0.00011080102985221334
nominal,0.81,60,0.9699260326321689,0.962407540790211,0.0001906357234464664
nominal,0.82,60,0.9705312519361956,0.9631640649202444,0.0001525332391033164
nominal,0.83,60,0.9696295742878913,0.9620369678598641,0.0002442521469721881
nominal,0.84,60,0.9712413333539065,0.9640516666923834,0.00017237957264263536
nominal,0.85,60,0.9711357563544244,0.9639196954430302,0.0002877999811774824
nominal,0.86,60,0.9697774249366529,0.9622217811708161,0.0001458375755810884
nominal,0.87,60,0.9697839865769589,0.9622299832211986,0.00020413331577834038
nominal,0.88,60,0.9705848716350091,0.9632310895437614,0.00017010741759400255
nominal,0.89,60,0.967437394176203,0.9592967427202539,0.0002069483313255808
nominal,0.9,60,0.966532842990742,0.9581660537384277,0.0002999747053597529
nominal,0.91,60,0.9662969932880036,0.9578712416100047,0.0003405970887604252
nominal,0.92,60,0.966033964986643,0.9575424562333037,0.00033882174438004404
nominal,0.93,60,0.9642896390847915,0.9553620488559893,0.0002849742531982177
nominal,0.94,60,0.9621202253545109,0.9526502816931387,0.00030620585584751155
nominal,0.95,60,0.9646408050383741,0.9558010062979676,0.000300851932836104
nominal,0.96,60,0.9663242743796302,0.9579053429745376,0.00020536253770349374
nominal,0.97,60,0.9641409779396624,0.955176222424578,0.00023904439632878958
nominal,0.98,60,0.9625471480175636,0.9531839350219546,0.0003556972122394504
nominal,0.99,60,0.9624776467813302,0.9530970584766628,0.0002364347471066148
nominal,1.0,60,0.9606001204284347,0.9507501505355437,0.0003304675332651228
nominal,1.01,60,0.9581862697874443,0.9477328372343052,0.0003936792019842305
nominal,1.02,60,0.9591919911181208,0.9489899888976511,0.00029573289697431556
nominal,1.03,60,0.9550825712077482,0.943853214009685,0.0005775858908334105
nominal,1.04,60,0.9558130845835457,0.944766355729432,0.0005222696523552139
nominal,1.05,60,0.9613696303830164,0.9517120379787702,0.00029328648636871106
nominal,1.06,60,0.9576403474158905,0.9470504342698629,0.00038034409692236013
nominal,1.07,60,0.9576221288040204,0.9470276610050252,0.0003674124059048755
nominal,1.08,60,0.9544152773741397,0.9430190967176746,0.00047984130010977633
nominal,1.09,60,0.9505777703968747,0.9382222129960932,0.0006610852921751614
nominal,1.1,60,0.9507796035540932,0.9384745044426162,0.0004756070991982196
nominal,1.11,60,0.9521673441693654,0.940209180211707,0.0005574949843301942
nominal,1.12,60,0.954957946670289,0.9436974333378613,0.00028877808336529324
nominal,1.13,60,0.9508746524240371,0.9385933155300462,0.0006319313595856285
nominal,1.14,60,0.9514618464550003,0.9393273080687503,0.00035949864162575457
nominal,1.15,60,0.9466954782013636,0.9333693477517044,0.0004869023181647291
nominal,1.16,60,0.950827984562606,0.9385349807032577,0.0008111654882339935
nominal,1.17,60,0.9470896046500947,0.9338620058126185,0.0007813175484046079
nominal,1.18,60,0.9479044185215031,0.9348805231518789,0.0008102162549561589
nominal,1.19,60,0.9531905558236103,0.9414881947795131,0.00038750372515093375
nominal,1.2,60,0.9495100291460198,0.9368875364325249,0.0005494135787349573
nominal,1.21,60,0.9497326206507459,0.9371657758134325,0.0004584599621630578
nominal,1.22,60,0.9441896143744541,0.9302370179680677,0.0007276170182047586
nominal,1.23,60,0.9447766753607647,0.9309708442009561,0.0005952925664351527
nominal,1.24,60,0.9462780070530992,0.932847508816374,0.0007165621580118693
nominal,1.25,60,0.9427183881891761,0.9283979852364701,0.0008784682155779793
nominal,1.26,60,0.944456830391676,0.9305710379895952,0.0006713840712361557
nominal,1.27,60,0.941199148551117,0.9264989356888961,0.0007071103290674415
nominal,1.28,60,0.9394850596360262,0.9243563245450328,0.0010639561358949518
nominal,1.29,60,0.9381118025329566,0.9226397531661956,0.0011377954382616614
nominal,1.3,60,0.9396723002640983,0.9245903753301226,0.0010092585649324295
nominal,1.31,60,0.9396622148462183,0.9245777685577725,0.0010981752521496458
nominal,1.32,60,0.938135638641334,0.9226695483016675,0.000794102453273188
nominal,1.33,60,0.9361958760727153,0.9202448450908941,0.000750815843185363
nominal,1.34,60,0.9375527730225306,0.9219409662781636,0.0009654828883680854
nominal,1.35,60,0.9376488121261748,0.9220610151577187,0.0009720277266253156
nominal,1.36,60,0.9336358163880636,0.9170447704850795,0.0008874192417526048
nominal,1.37,60,0.9315671833566102,0.9144589791957628,0.0008362754357243524
nominal,1.38,60,0.9300317228511574,0.9125396535639465,0.0010256062489015305
nominal,1.39,60,0.9321110977407474,0.9151388721759341,0.0011869455766839458
nominal,1.4,60,0.9294195073079199,0.9117743841348996,0.001584232928341584
nominal,1.41,60,0.9290152954223242,0.9112691192779053,0.0009675432185779532
nominal,1.42,60,0.9295153385937541,0.9118941732421928,0.0009296289108229129
nominal,1.43,60,0.9214948649271899,0.9018685811589874,0.0016570007453956676
nominal,1.44,60,0.9261128325767795,0.9076410407209744,0.0009261203370688673
nominal,1.45,60,0.9198267066392156,0.8997833832990195,0.0015058520372826336
nominal,1.46,60,0.9282900464843838,0.9103625581054795,0.0011801318164733363
nominal,1.47,60,0.927635747982317,0.9095446849778964,0.001109538982748443
nominal,1.48,60,0.9299295634930007,0.9124119543662509,0.0009043193531054924
nominal,1.49,60,0.9289566177758044,0.9111957722197557,0.0009702667195249722
nominal,1.5,60,0.9208382909879401,0.9010478637349251,0.001566394555552232
nominal,1.51,60,0.9199559846853564,0.8999449808566957,0.0011629970688090087
nominal,1.52,60,0.9161131319457362,0.8951414149321699,0.0012405211920841965
nominal,1.53,60,0.9200100702171938,0.9000125877714923,0.0011248558013934541
nominal,1.54,60,0.9186863336884035,0.8983579171105045,0.0013254175878017317
nominal,1.55,60,0.9152079300396455,0.894009912549557,0.0018142982777951515
nominal,1.56,60,0.9154254760741699,0.8942818450927124,0.0018705700657056603
nominal,1.57,60,0.9180202486578252,0.8975253108222815,0.001732280052859518
nominal,1.58,60,0.9186661678326294,0.8983327097907866,0.0015931313058897383
nominal,1.59,60,0.9143499075550825,0.8929373844438531,0.0013258341943852001
nominal,1.6,60,0.9159252876539196,0.8949066095673994,0.0015077785501816988
nominal,1.61,60,0.9192554206418979,0.8990692758023725,0.0015817310220127992
nominal,1.62,60,0.9155797508460343,0.8944746885575429,0.0018119610943721004
nominal,1.63,60,0.9056800088939103,0.8821000111173877,0.0016478072638530538
nominal,1.64,60,0.905713023398834,0.8821412792485422,0.0020567095739923587
nominal,1.65,60,0.9047295724403792,0.8809119655504741,0.0018342287648084946
nominal,1.66,60,0.9147424040826642,0.8934280051033302,0.0013938788576713552
nominal,1.67,60,0.9010325264490047,0.8762906580612561,0.0022620109893229734
nominal,1.68,60,0.9124329564610115,0.890541195576264,0.0012676427045898299
nominal,1.69,60,0.8992756898831669,0.8740946123539586,0.0020137155124538638
nominal,1.7,60,0.9009685373685749,0.8762106717107186,0.002137013408108008
nominal,1.71,60,0.9077299964092552,0.8846624955115694,0.001891245069222871
nominal,1.72,60,0.900156991128765,0.8751962389109561,0.002197834852782414
nominal,1.73,60,0.9013547150143915,0.8766933937679892,0.00219687195945621
nominal,1.74,60,0.892964411103927,0.8662055138799086,0.0017180102868828903
nominal,1.75,60,0.9005598300472482,0.8756997875590604,0.0017016124253292134
nominal,1.76,60,0.8869837311700213,0.8587296639625266,0.002852124297879738
nominal,1.77,60,0.8972628172853995,0.8715785216067494,0.0027492562001297013
nominal,1.78,60,0.8936140731327562,0.8670175914159456,0.0035881715947538415
nominal,1.79,60,0.8898641694773662,0.8623302118467078,0.002260973812094709
nominal,1.8,60,0.8876694155343557,0.8595867694179448,0.003387559184642903
nominal,1.81,60,0.9016584851990548,0.8770731064988186,0.0012026008659715606
nominal,1.82,60,0.8921577168596806,0.8651971460746007,0.001874168996387829
nominal,1.83,60,0.8936313300404081,0.86703916255051,0.00313390565250131
nominal,1.84,60,0.8900759227086689,0.8625949033858362,0.0022828600481479425
nominal,1.85,60,0.8871666141936164,0.8589582677420201,0.003097748645113378
nominal,1.86,60,0.8879461229790877,0.8599326537238595,0.0027799643235468002
