alpha,avg_boundary_cost,avg_cost,avg_fidelity,avg_leakage,avg_min_cost,avg_min_cost_time_ns,avg_time_cost,avg_time_ns,checkpoint_path,eval_cost,eval_fidelity,eval_leakage,eval_min_cost,eval_min_cost_time_ns,eval_plan_path,eval_time_ns,gamma,num_workers,phase_iter,robustness,robustness_path,robustness_sigma_1p0_average_fidelity,robustness_sigma_1p0_average_gate_fidelity,robustness_sigma_1p0_fidelity_variance,update_kl,update_policy_loss,update_updated,update_value_loss
0.0,0.867108181022825,17.69460643085216,0.04045715558667248,0.6932069805696063,10.004914002108338,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000001.pt,10.318907435744565,5.066085316176622e-06,0.00011318359185518516,10.0033338271079,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000001_control_plan.npz,180.0,1.5707963267948966,8,1,"{'sigma_1p0': {'average_fidelity': 0.20007028923864922, 'average_gate_fidelity': 8.786154831151326e-05, 'fidelity_variance': 8.422473359260277e-09, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000001_robustness.json,0.20007028923864922,8.786154831151326e-05,8.422473359260277e-09,0.006808889098465443,1.5380859963443072e-07,1.0,325352.8125
0.0,0.8513855328998179,17.665291509543675,0.041557940192106416,0.6929485378564918,10.00491162213425,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000002.pt,10.316543806768465,3.8013013408892746e-06,0.0002474323909143679,10.003334876414813,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000002_control_plan.npz,180.0,1.5707963267948966,8,2,"{'sigma_1p0': {'average_fidelity': 0.20008270221520338, 'average_gate_fidelity': 0.00010337776900420207, 'fidelity_variance': 2.8085020239459817e-08, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000002_robustness.json,0.20008270221520338,0.00010337776900420207,2.8085020239459817e-08,0.006329966243356466,-3.3664278475953324e-07,1.0,320265.78125
0.0,0.84732425102736,17.6702497065364,0.03972052790725181,0.6920130734581553,10.004911660228402,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000003.pt,10.318849963473092,5.551249127374321e-07,0.00033576997671233674,10.00333644105565,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000003_control_plan.npz,180.0,1.5707963267948966,8,3,"{'sigma_1p0': {'average_fidelity': 0.20015613647545105, 'average_gate_fidelity': 0.00019517059431380871, 'fidelity_variance': 3.199817277671833e-07, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000003_robustness.json,0.20015613647545105,0.00019517059431380871,3.199817277671833e-07,0.006317301653325558,2.631293405386259e-08,1.0,317199.1875
0.0,0.8430639999236471,17.654815652299504,0.04137656065471805,0.6925517258923035,10.004898763846086,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000004.pt,10.312184892968205,4.690662552151954e-07,0.00033569186360355216,10.003334759156976,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000004_control_plan.npz,180.0,1.5707963267948966,8,4,"{'sigma_1p0': {'average_fidelity': 0.2000861827742255, 'average_gate_fidelity': 0.00010772846778188085, 'fidelity_variance': 1.7827780578671408e-08, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000004_robustness.json,0.2000861827742255,0.00010772846778188085,1.7827780578671408e-08,0.006162933073937893,5.0726995937111496e-08,1.0,314976.34375
0.0,0.9062637479196394,17.742378945328895,0.03938251493012781,0.6929940346710534,10.004886225960465,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000005.pt,10.311998641392062,2.322856545254453e-06,0.0002973728925757667,10.003334631113546,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000005_control_plan.npz,180.0,1.5707963267948966,8,5,"{'sigma_1p0': {'average_fidelity': 0.20012858073627565, 'average_gate_fidelity': 0.00016072592034445951, 'fidelity_variance': 4.844928103327134e-08, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000005_robustness.json,0.20012858073627565,0.00016072592034445951,4.844928103327134e-08,0.006123053375631571,-9.277344048541636e-08,1.0,313292.78125
0.0,0.9116356250307015,17.760838557826546,0.03861446798772944,0.6935347612673141,10.004654547686108,2.03,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000006.pt,10.322938014127152,0.000686685189700098,0.0003482235908530707,10.003335375167707,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000006_control_plan.npz,180.0,1.5707963267948966,8,6,"{'sigma_1p0': {'average_fidelity': 0.20059268871508298, 'average_gate_fidelity': 0.0007408608938537745, 'fidelity_variance': 5.977233880740175e-07, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000006_robustness.json,0.20059268871508298,0.0007408608938537745,5.977233880740175e-07,0.005958554334938526,4.041883627792231e-08,1.0,311426.1875
0.0,0.8976019297193976,17.751920544974585,0.03945337436097726,0.6948852358864956,10.004875406909342,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000007.pt,10.3134221149645,0.0003290523213839351,0.00048270037053822247,10.00333821404611,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000007_control_plan.npz,180.0,1.5707963267948966,8,7,"{'sigma_1p0': {'average_fidelity': 0.20049462511675517, 'average_gate_fidelity': 0.0006182813959439382, 'fidelity_variance': 8.675392520889233e-07, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000007_robustness.json,0.20049462511675517,0.0006182813959439382,8.675392520889233e-07,0.0059685357846319675,-6.456163248458324e-08,1.0,309804.09375
0.0,0.8901136887852906,17.712504292718478,0.04027494792877574,0.6925140083220944,10.00489461420717,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000008.pt,10.304483079802221,0.001487178907554571,0.0004752036647675072,10.003336128756368,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000008_control_plan.npz,180.0,1.5707963267948966,8,8,"{'sigma_1p0': {'average_fidelity': 0.20174425832064938, 'average_gate_fidelity': 0.002180322900811752, 'fidelity_variance': 2.8684853829250297e-06, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000008_robustness.json,0.20174425832064938,0.002180322900811752,2.8684853829250297e-06,0.00577431358397007,-2.5227864242083342e-08,1.0,307241.40625
0.0,0.8831112521689188,17.65821278259818,0.04604302760987837,0.693553180652805,10.004882068708813,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000009.pt,10.304947796730838,0.00307640567592371,0.0005391466393356674,10.003336172122637,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000009_control_plan.npz,180.0,1.5707963267948966,8,9,"{'sigma_1p0': {'average_fidelity': 0.20281741265837888, 'average_gate_fidelity': 0.003521765822973549, 'fidelity_variance': 7.864579549330802e-06, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000009_robustness.json,0.20281741265837888,0.003521765822973549,7.864579549330802e-06,0.005824013147503138,1.223415750928325e-07,1.0,305096.6875
0.0,0.9336462767489498,17.697619597401207,0.04554640114316844,0.6919437332083941,10.00464878138106,2.0352,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000010.pt,10.321634344523883,0.005787240835314528,0.000617071115746746,10.00333707491003,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000010_control_plan.npz,180.0,1.5707963267948966,8,10,"{'sigma_1p0': {'average_fidelity': 0.20518193968605525, 'average_gate_fidelity': 0.006477424607569061, 'fidelity_variance': 1.611725743593441e-05, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000010_robustness.json,0.20518193968605525,0.006477424607569061,1.611725743593441e-05,0.006135177798569202,6.429036147892475e-08,1.0,303036.25
