alpha,avg_boundary_cost,avg_cost,avg_fidelity,avg_leakage,avg_min_cost,avg_min_cost_time_ns,avg_time_cost,avg_time_ns,checkpoint_path,eval_cost,eval_fidelity,eval_leakage,eval_min_cost,eval_min_cost_time_ns,eval_plan_path,eval_time_ns,gamma,num_workers,phase_iter,robustness,robustness_path,robustness_sigma_1p0_average_fidelity,robustness_sigma_1p0_average_gate_fidelity,robustness_sigma_1p0_fidelity_variance,update_kl,update_policy_loss,update_updated,update_value_loss
0.0,0.9208562235695903,11.847743807967127,0.6318749838219255,0.694563742261679,4.447793716299521,87.296,0.3,180.0,runs\curriculum_gamma_pi2_alpha_2p2_thr038_test_backup\gamma_1.570796\alpha_0.000000\checkpoints\iter_000115.pt,4.959365792588744,0.5576793633175324,0.004827116263883107,0.2093737757405659,90.0,runs\curriculum_gamma_pi2_alpha_2p2_thr038_test_backup\gamma_1.570796\alpha_0.000000\plans\iter_000115_control_plan.npz,180.0,1.5707963267948966,8,115,"{'sigma_1p0': {'average_fidelity': 0.6133305293229971, 'average_gate_fidelity': 0.5166631616537464, 'fidelity_variance': 0.002599804523829283, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\curriculum_gamma_pi2_alpha_2p2_thr038_test_backup\gamma_1.570796\alpha_0.000000\robustness\iter_000115_robustness.json,0.6133305293229971,0.5166631616537464,0.002599804523829283,0.008533027954399586,6.429036147892475e-08,1.0,31914.9296875
0.157,0.9637735400335535,13.42745914720289,0.478004367909119,0.6943729286260527,5.021358659365148,89.3072,0.3,180.0,runs\runtime\gamma_1.570796\alpha_0.157000\checkpoints\iter_000090.pt,0.39880300836735394,0.9880321465291605,0.0035524523475873927,0.39880300836735394,142.0,runs\runtime\gamma_1.570796\alpha_0.157000\plans\iter_000090_control_plan.npz,142.0,1.5707963267948966,8,90,"{'sigma_1p0': {'average_fidelity': 0.9509514685947025, 'average_gate_fidelity': 0.9386893357433779, 'fidelity_variance': 0.0006177054796980021, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_0.157000\robustness\iter_000090_robustness.json,0.9509514685947025,0.9386893357433779,0.0006177054796980021,0.008109217509627342,-1.4621311095197598e-07,1.0,48999.6484375
0.314,0.47127758547603144,9.83648747026166,0.788128458381033,0.6946494468595958,5.321068857899509,84.7108,0.3,180.0,runs\runtime\gamma_1.570796\alpha_0.314000\checkpoints\iter_000090.pt,0.3984718481463212,0.9904539204905208,0.004117727270747682,0.3984718481463212,140.0,runs\runtime\gamma_1.570796\alpha_0.314000\plans\iter_000090_control_plan.npz,140.0,1.5707963267948966,8,90,"{'sigma_1p0': {'average_fidelity': 0.9533080581062578, 'average_gate_fidelity': 0.9416350726328223, 'fidelity_variance': 0.0004275467204072445, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_0.314000\robustness\iter_000090_robustness.json,0.9533080581062578,0.9416350726328223,0.0004275467204072445,0.009295959025621414,2.183702285663003e-08,1.0,12981.9423828125
0.471,0.2999381268309857,8.802101777036468,0.8746176494663516,0.6948340144868996,6.144411336243809,100.2424,0.3,180.0,runs\runtime\gamma_1.570796\alpha_0.471000\checkpoints\iter_000100.pt,0.9794839786247205,0.9538058470486483,0.004799575979862605,0.4969836675284701,142.0,runs\runtime\gamma_1.570796\alpha_0.471000\plans\iter_000100_control_plan.npz,180.0,1.5707963267948966,8,100,"{'sigma_1p0': {'average_fidelity': 0.9179151237520871, 'average_gate_fidelity': 0.8973939046901086, 'fidelity_variance': 0.000948230031368007, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_0.471000\robustness\iter_000100_robustness.json,0.9179151237520871,0.8973939046901086,0.000948230031368007,0.009911050088703632,-4.611544923704969e-09,1.0,2241.013427734375
0.628,0.3110270239345163,8.89442505594873,0.8680656042680645,0.6964054074694858,6.573712405496434,132.432,0.3,180.0,runs\runtime\gamma_1.570796\alpha_0.628000\checkpoints\iter_000100.pt,0.9559991581565983,0.9479833498858943,0.005086447892154839,0.6469337763981062,146.0,runs\runtime\gamma_1.570796\alpha_0.628000\plans\iter_000100_control_plan.npz,180.0,1.5707963267948966,8,100,"{'sigma_1p0': {'average_fidelity': 0.9148848623614212, 'average_gate_fidelity': 0.8936060779517764, 'fidelity_variance': 0.0008538890724640294, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_0.628000\robustness\iter_000100_robustness.json,0.9148848623614212,0.8936060779517764,0.0008538890724640294,0.009881269186735153,3.7434894295529375e-08,1.0,889.8915405273438
0.785,0.3708074180880327,9.054046246698613,0.8545794156222303,0.6929032984832881,6.431995839774191,123.09,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_0.785000\checkpoints\iter_000150.pt,0.9439341457821645,0.9491609960286147,0.00768222071099789,0.7993472321620618,174.0,runs\runtime\gamma_1.570796\alpha_0.785000\plans\iter_000150_control_plan.npz,180.0,1.5707963267948966,8,150,"{'sigma_1p0': {'average_fidelity': 0.9055379966867622, 'average_gate_fidelity': 0.8819224958584527, 'fidelity_variance': 0.001442438110251417, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_0.785000\robustness\iter_000150_robustness.json,0.9055379966867622,0.8819224958584527,0.001442438110251417,0.009937318041920662,-8.477105128967821e-10,1.0,246.0235595703125
0.942,0.3079599702440284,9.068288360808666,0.8477822519379441,0.6938150909944077,3.8740030025058765,74.117,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_0.942000\checkpoints\iter_000102.pt,0.3998474199597379,0.9904685039130265,0.005232361447160775,0.3998474199597379,148.0,runs\runtime\gamma_1.570796\alpha_0.942000\plans\iter_000102_control_plan.npz,148.0,1.5707963267948966,8,102,"{'sigma_1p0': {'average_fidelity': 0.9503815527547286, 'average_gate_fidelity': 0.9379769409434107, 'fidelity_variance': 0.00043259611669308184, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_0.942000\robustness\iter_000102_robustness.json,0.9503815527547286,0.9379769409434107,0.00043259611669308184,0.009840738959610462,-5.12864861690332e-09,1.0,261.6363220214844
1.099,0.3694372770811816,9.191713872054695,0.8418234131204035,0.6940510726177547,3.365199955242129,47.096,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_1.099000\checkpoints\iter_000010.pt,0.39860658672745075,0.984966683008121,0.002744836019196793,0.39860658672745075,76.0,runs\runtime\gamma_1.570796\alpha_1.099000\plans\iter_000010_control_plan.npz,76.0,1.5707963267948966,8,10,"{'sigma_1p0': {'average_fidelity': 0.9674057583378541, 'average_gate_fidelity': 0.9592571979223178, 'fidelity_variance': 0.00014348923573082248, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_1.099000\robustness\iter_000010_robustness.json,0.9674057583378541,0.9592571979223178,0.00014348923573082248,0.009986134245991707,-3.528594971768939e-09,1.0,270.6760559082031
1.256,0.30528534404496105,9.647807332638452,0.7878608860827816,0.6921130849421309,1.8182990365508283,3.107,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_1.256000\checkpoints\iter_000014.pt,0.3996763430360245,0.9894117790447206,0.005529839089141646,0.3996763430360245,140.0,runs\runtime\gamma_1.570796\alpha_1.256000\plans\iter_000014_control_plan.npz,140.0,1.5707963267948966,8,14,"{'sigma_1p0': {'average_fidelity': 0.9534854862423195, 'average_gate_fidelity': 0.9418568578028993, 'fidelity_variance': 0.0004785409982325095, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_1.256000\robustness\iter_000014_robustness.json,0.9534854862423195,0.9418568578028993,0.0004785409982325095,0.009970088489353657,-3.5391913844051714e-09,1.0,304.24822998046875
1.413,0.2598768707409827,10.29881942575438,0.717404939491235,0.6914386949925747,0.49561251533066447,2.332,0.2986049999999999,179.163,runs\runtime\gamma_1.570796\alpha_1.413000\checkpoints\iter_000020.pt,0.39941356280671103,0.9879882470358654,0.005722312662971898,0.39941356280671103,132.0,runs\runtime\gamma_1.570796\alpha_1.413000\plans\iter_000020_control_plan.npz,132.0,1.5707963267948966,8,20,"{'sigma_1p0': {'average_fidelity': 0.9542353321281422, 'average_gate_fidelity': 0.9427941651601774, 'fidelity_variance': 0.0004092282106795892, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_1.413000\robustness\iter_000020_robustness.json,0.9542353321281422,0.9427941651601774,0.0004092282106795892,0.009982209652662277,7.30307680996134e-09,1.0,305.2966003417969
