iteration,eval_cost,eval_fidelity,eval_leakage,eval_time_ns,eval_min_cost_time_ns
1,0.617223898661735,0.9884892456969291,0.00025067547917100003,180,180.0
2,0.476750272046061,0.983940037302193,0.000558485409436,180,180.0
3,0.39444225960197804,0.9974004036447871,0.00036655226854300004,120,120.0
4,0.39707678155160203,0.9939743142822701,0.000317298838759,108,108.0
5,0.39601443549166104,0.994305756682984,0.00038110621493000005,104,104.0
6,0.39425761086392,0.9911565037738721,0.00042292721618400003,102,102.0
7,0.36760928661019704,0.991554190718224,0.00045917300823900003,102,102.0
8,0.393699840024862,0.9870208513774541,0.000418405710928,100,100.0
9,0.371505302066687,0.988637987230459,0.00049302877579,100,100.0
10,0.39625972640409,0.9847172221731391,0.000527980527308,98,98.0
11,0.396563889807711,0.9835977369020441,0.000549521658281,98,98.0
12,0.386314325813547,0.9851399638366761,0.000551725071562,96,96.0
13,2.118088977636384,0.8207718419320901,0.001069043810928,180,180.0
14,0.38764040475716205,0.9867345391996281,0.000533998001302,94,94.0
15,0.38408727870000503,0.9823458524431461,0.000580399138426,96,96.0
16,0.38380296012261605,0.9851430097887711,0.0005643515412550001,94,94.0
17,1.071671504392055,0.9451253143079351,0.0011157401847450002,180,180.0
18,0.39401070797124405,0.9818291949418161,0.0007042849844870001,96,96.0
19,0.39860217812185705,0.9812698290285651,0.00069909005023,94,94.0
20,0.39646961775767803,0.9792233111547031,0.000712929459767,98,98.0
21,0.39803972540311405,0.9856571698129971,0.000731687015328,96,96.0
22,0.8572142245142481,0.9871006457184551,0.001260731573423,180,180.0
23,0.38672956652137,0.9857436594079361,0.000753742125749,94,94.0
24,0.835464693147102,0.9871303812210901,0.0014157050644370002,180,180.0
25,0.399314744220503,0.982997703670843,0.0008399158298240001,98,98.0
26,0.384166176075151,0.9822231279859951,0.0009209449766170001,98,98.0
27,0.38278442055472,0.9867753141871841,0.0008457878809130001,94,94.0
28,0.39591959405182403,0.9802701035813621,0.0009363816031490001,102,102.0
29,0.39682987108578305,0.9867790546828771,0.000908620894385,96,96.0
30,0.850230302864267,0.9906235337240291,0.0016397776927300001,180,180.0
31,0.39190921390557304,0.9871746094760181,0.0009303923948500001,98,98.0
32,0.399992156181027,0.9832877599643781,0.0008892836901700001,96,96.0
33,0.39988388638570105,0.9807801500355211,0.0009395801385720001,102,102.0
34,0.39596057281038205,0.9844675899541581,0.000946619891188,100,100.0
35,0.39558984581181905,0.9834453868276161,0.0009124906095730001,98,98.0
36,0.39924139214262305,0.98213328812129,0.001014023338636,100,100.0
37,0.398807394391746,0.9820768246542121,0.001145690123677,108,108.0
38,0.39923256487294,0.9876519714338551,0.0010237577254730002,94,94.0
39,0.392762380344083,0.9832529100357211,0.001117378675877,98,98.0
40,0.38084581005122,0.9879007670240231,0.001113748149161,98,98.0
41,0.39881796132472,0.983517657911928,0.001133509671447,100,100.0
42,0.3822319678698,0.9874832363182161,0.0010195952198860001,96,96.0
43,0.39718051807824,0.98405652976343,0.001098513148095,106,106.0
44,0.379736281933276,0.9891720259275191,0.001066761158528,100,100.0
45,0.385907631001339,0.9851196552079291,0.0010924085750230001,100,100.0
46,0.39833359050093503,0.9853596550960031,0.00120762424869,106,106.0
47,0.387485111249871,0.9869961080763471,0.0011193861861180001,100,100.0
48,0.389911220300502,0.9844717864232481,0.0012087090868250002,104,104.0
49,0.38872949341662,0.9859473916890141,0.0012680665265210002,102,102.0
50,0.39333589965950805,0.9853727553792561,0.0012845928483740002,100,100.0
51,0.393825568159585,0.9848700789535271,0.001354582845653,102,102.0
52,0.39722595121333404,0.9853492135928,0.0014401575487790002,110,110.0
53,0.393866749282869,0.986916124161841,0.001536321346543,114,114.0
54,0.39582013525749804,0.9873346400258851,0.001463638501505,106,106.0
55,0.382448526513953,0.9882890695895881,0.0014863628749010001,104,104.0
56,0.39182557943156304,0.9866357494783751,0.0014445234199870001,100,100.0
57,0.39518673408103905,0.9852259010253811,0.0014093905653610002,102,102.0
58,0.39439054809711604,0.9851711822640601,0.0014053471160610002,104,104.0
59,0.39477529181423404,0.9851153974711091,0.0014505468120980002,108,108.0
60,0.38959263122257803,0.9854166604124841,0.0013793212898700002,104,104.0
61,0.39890516244689306,0.985175593906747,0.0013672272028790002,108,108.0
62,0.39031131092466803,0.9863848410546591,0.001346140741226,104,104.0
63,0.38895193149813,0.9867413531635251,0.0012677671057830001,100,100.0
64,0.38362409832148503,0.985425941111408,0.001303008360371,102,102.0
65,0.39598596622716503,0.9839513642305271,0.0013245677495850002,104,104.0
66,0.391930542096446,0.9846365705034931,0.001283193129863,102,102.0
67,0.385908844451119,0.9853882783315101,0.0011953650146000001,100,100.0
68,0.39001857579060806,0.9854147067670731,0.001225419776576,102,102.0
69,0.38899372953248,0.985251357930186,0.00117969114799,100,100.0
