horizon_ns,optimizer_cost,nominal_cost,nominal_fidelity,nominal_leakage,nominal_leakage_boundary,nominal_leakage_integral,nominal_boundary_cost,nominal_time_cost,nominal_time_ns
40.0,3.1418220399220425,3.141822039922047,0.7327242168557685,0.0003763824627952124,5.595763644038879e-05,0.0003204248263548236,0.3986337171851127,0.06666666666666667,40.0
50.0,1.509337774022905,1.5093377740229237,0.8902010972387757,0.0004011218892116439,3.718498353525711e-05,0.0003639369056763868,0.3240041941852313,0.08333333333333334,50.0
60.0,0.3412612598925714,0.3412612598925603,0.984706800013239,0.0003238703392677322,2.1514340435647725e-05,0.0003023559988320845,0.08509055663227251,0.1,60.0
70.0,0.12562679949594818,0.1256267994960814,0.9993852469909151,0.00019814708030270733,1.087721875480946e-05,0.00018726986154789786,0.0008311319355389747,0.11666666666666668,70.0
80.0,0.13967235762467,0.13967235762485652,0.9995474641502152,0.00013749650150242018,4.038828296574051e-06,0.00013345767320584612,0.00043870077865124736,0.13333333333333333,80.0
90.0,0.15467853274939666,0.15467853274961205,0.9996513259195826,9.574351487053918e-05,1.8183986239871203e-07,9.556167500814048e-05,0.00023435679673274504,0.15000000000000002,90.0
100.0,0.17025434015594407,0.170254340156024,0.9997228196291874,6.853034615643557e-05,3.425065590801557e-07,6.818783959735542e-05,0.00013056631966705643,0.16666666666666669,100.0
110.0,0.18616181521067865,0.18616181521109387,0.9997744947256574,4.9705859889527813e-05,3.167544427525973e-07,4.938910544677522e-05,7.637053543906329e-05,0.18333333333333335,110.0
120.0,0.20227802353148575,0.2022780235315035,0.9998131460646205,3.6311486792462675e-05,2.2209786959659975e-07,3.608938892286607e-05,4.636930978347624e-05,0.2,120.0
130.0,0.21854035103047514,0.21854035103052843,0.9998428594842214,2.7290978318974163e-05,2.467088325808414e-07,2.704426948639332e-05,2.936942288560328e-05,0.21666666666666667,130.0
140.0,0.234913306090607,0.23491330609079575,0.9998663032378344,2.2266409203742864e-05,2.5672124657048337e-07,2.2009687957172382e-05,2.0341043769274196e-05,0.23333333333333336,140.0
150.0,0.25134635555842466,0.25134635555872886,0.9998849658676662,1.8170216355789313e-05,2.1170530034407646e-07,1.7958511055445236e-05,1.431207183272083e-05,0.25,150.0
160.0,0.2678278739582218,0.2678278739583639,0.9999001395150834,1.5227168096595373e-05,2.3752453758060942e-07,1.4989643559014763e-05,1.0330761565114168e-05,0.26666666666666666,160.0
170.0,0.284344988895352,0.28434498889574944,0.9999125474776235,1.2953002677822874e-05,2.381304048402681e-07,1.2714872272982606e-05,7.600311872628438e-06,0.2833333333333334,170.0
180.0,0.3008890656864429,0.30088906568678486,0.9999229128313194,1.1238121264881183e-05,2.295983982159279e-07,1.1008522866665255e-05,5.812787329996608e-06,0.30000000000000004,180.0
